step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
35	[2.3, 7.5, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, -0.33, 1.04]	[-0.01, -0.33, 1.02]	[0.01, 0.0, 0.02]
36	[2.09, 7.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.0, -0.31, 1.04]	[0.01, -0.31, 1.02]	[0.01, 0.0, 0.02]
37	[1.86, 7.01, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.28, 1.04]	[0.03, -0.28, 1.02]	[0.01, 0.0, 0.02]
38	[1.63, 6.76, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.26, 1.04]	[0.06, -0.26, 1.02]	[0.01, 0.0, 0.02]
39	[1.41, 6.51, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.23, 1.04]	[0.08, -0.23, 1.02]	[0.01, 0.0, 0.02]
40	[1.19, 6.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.21, 1.04]	[0.1, -0.21, 1.02]	[0.01, 0.0, 0.02]
41	[0.97, 6.03, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.11, -0.19, 1.04]	[0.12, -0.19, 1.02]	[0.01, 0.0, 0.02]
42	[0.76, 5.79, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.13, -0.16, 1.04]	[0.14, -0.16, 1.01]	[0.01, 0.0, 0.02]
43	[0.58, 5.55, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.14, 1.04]	[0.15, -0.14, 1.02]	[0.01, 0.0, 0.02]
44	[0.43, 5.31, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, -0.12, 1.04]	[0.17, -0.12, 1.02]	[0.01, 0.0, 0.02]
45	[0.32, 5.08, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, -0.09, 1.04]	[0.17, -0.09, 1.02]	[0.01, 0.0, 0.02]
46	[0.23, 4.85, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.07, 1.04]	[0.18, -0.07, 1.02]	[0.01, 0.0, 0.02]
47	[0.16, 4.61, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.05, 1.04]	[0.19, -0.05, 1.02]	[0.01, 0.0, 0.02]
48	[0.11, 4.38, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.02, 1.04]	[0.19, -0.02, 1.02]	[0.01, 0.0, 0.02]
49	[0.08, 4.15, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.0, 1.04]	[0.19, 0.0, 1.02]	[0.01, 0.0, 0.02]
50	[0.06, 3.92, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.02, 1.04]	[0.19, 0.02, 1.02]	[0.01, 0.0, 0.02]
51	[0.05, 3.69, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.05, 1.04]	[0.19, 0.05, 1.02]	[0.01, 0.0, 0.02]
52	[0.04, 3.46, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.07, 1.04]	[0.19, 0.07, 1.02]	[0.01, 0.0, 0.02]
53	[0.04, 3.23, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.09, 1.04]	[0.19, 0.09, 1.02]	[0.01, 0.0, 0.02]
54	[0.04, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.11, 1.04]	[0.19, 0.11, 1.02]	[0.01, 0.0, 0.02]
55	[0.04, 2.78, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.14, 1.04]	[0.19, 0.14, 1.02]	[0.01, 0.0, 0.02]
56	[0.05, 2.55, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.16, 1.04]	[0.19, 0.16, 1.01]	[0.01, 0.0, 0.02]
57	[0.05, 2.33, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.18, 1.04]	[0.19, 0.18, 1.01]	[0.01, 0.0, 0.02]
58	[0.05, 2.1, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.2, 1.04]	[0.19, 0.2, 1.01]	[0.01, 0.0, 0.03]
59	[0.05, 1.88, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.23, 1.03]	[0.19, 0.23, 1.01]	[0.01, 0.0, 0.03]
60	[0.06, 1.66, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.25, 1.03]	[0.19, 0.25, 1.01]	[0.01, 0.0, 0.03]
61	[0.06, 1.44, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.27, 1.03]	[0.19, 0.27, 1.01]	[0.01, 0.0, 0.03]
62	[0.06, 1.22, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.29, 1.03]	[0.19, 0.29, 1.0]	[0.01, 0.0, 0.03]
63	[0.07, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.31, 1.03]	[0.19, 0.31, 1.0]	[0.01, 0.0, 0.03]
64	[0.08, 0.79, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.33, 1.02]	[0.19, 0.33, 1.0]	[0.01, 0.0, 0.03]
65	[0.09, 0.61, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.35, 1.02]	[0.19, 0.35, 1.0]	[0.01, 0.0, 0.03]
66	[0.09, 0.47, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.36, 1.02]	[0.19, 0.36, 1.0]	[0.01, 0.0, 0.03]
67	[0.09, 0.35, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.37, 1.02]	[0.19, 0.37, 0.99]	[0.01, 0.0, 0.03]
68	[0.09, 0.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.37, 1.02]	[0.19, 0.37, 0.99]	[0.01, 0.0, 0.03]
69	[0.1, 0.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 1.01]	[0.19, 0.38, 0.99]	[0.01, 0.0, 0.03]
70	[0.1, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 1.01]	[0.19, 0.38, 0.99]	[0.01, 0.0, 0.03]
71	[0.11, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 1.0]	[0.19, 0.38, 0.98]	[0.01, 0.0, 0.03]
72	[0.12, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 1.0]	[0.18, 0.38, 0.98]	[0.01, 0.0, 0.03]
73	[0.13, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.99]	[0.18, 0.38, 0.97]	[0.01, 0.0, 0.03]
74	[0.14, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.99]	[0.18, 0.38, 0.97]	[0.01, 0.0, 0.03]
75	[0.15, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.98]	[0.18, 0.38, 0.96]	[0.01, 0.0, 0.03]
76	[0.16, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.98]	[0.18, 0.38, 0.95]	[0.01, 0.0, 0.03]
77	[0.16, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.97]	[0.18, 0.38, 0.95]	[0.01, 0.0, 0.03]
78	[0.17, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.96]	[0.18, 0.38, 0.94]	[0.01, 0.0, 0.03]
79	[0.17, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.96]	[0.18, 0.38, 0.93]	[0.01, 0.0, 0.03]
80	[0.17, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.95]	[0.18, 0.38, 0.93]	[0.01, 0.0, 0.03]
81	[0.17, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.95]	[0.18, 0.38, 0.92]	[0.01, 0.0, 0.03]
82	[0.17, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.94]	[0.18, 0.38, 0.92]	[0.01, 0.0, 0.03]
83	[0.16, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.94]	[0.18, 0.38, 0.91]	[0.01, 0.0, 0.03]
84	[0.16, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.93]	[0.18, 0.38, 0.91]	[0.01, 0.0, 0.03]
85	[0.16, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.93]	[0.18, 0.38, 0.9]	[0.01, 0.0, 0.03]
86	[0.16, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.38, 0.92]	[0.18, 0.38, 0.9]	[0.01, 0.0, 0.03]
87	[0.17, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.92]	[0.18, 0.38, 0.89]	[0.01, 0.0, 0.03]
88	[0.18, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.91]	[0.18, 0.38, 0.89]	[0.01, 0.0, 0.03]
89	[0.19, 0.15, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.9]	[0.18, 0.38, 0.88]	[0.01, 0.0, 0.03]
90	[0.21, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.89]	[0.17, 0.37, 0.87]	[0.01, 0.0, 0.03]
91	[0.23, 0.19, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.89]	[0.17, 0.37, 0.86]	[0.01, 0.0, 0.03]
92	[0.25, 0.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.88]	[0.17, 0.37, 0.86]	[0.01, 0.0, 0.03]
93	[0.25, 0.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.88]	[0.17, 0.37, 0.86]	[0.01, 0.0, 0.02]
94	[0.24, 0.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.88]	[0.17, 0.37, 0.86]	[0.01, 0.0, 0.02]
95	[0.24, 0.2, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.37, 0.88]	[0.17, 0.37, 0.86]	[0.01, 0.0, 0.02]
96	[0.23, 0.2, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.88]	[0.18, 0.37, 0.86]	[0.01, 0.0, 0.02]
97	[0.21, 0.19, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.88]	[0.18, 0.37, 0.86]	[0.01, 0.0, 0.02]
