step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[-0.3, 0.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.03, 0.08, -0.18]	[0.18, 0.11, -0.18]	[0.21, 0.03, 0.0]
1	[-0.25, 0.81, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.01, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.02, 0.07, -0.18]	[0.19, 0.1, -0.18]	[0.21, 0.03, 0.0]
2	[-0.2, 0.65, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.03, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.02, 0.05, -0.18]	[0.19, 0.08, -0.18]	[0.21, 0.03, 0.0]
3	[-0.15, 0.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.04, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.01, 0.04, -0.18]	[0.2, 0.07, -0.18]	[0.21, 0.03, 0.0]
4	[-0.11, 0.38, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.05, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.01, 0.03, -0.18]	[0.2, 0.06, -0.18]	[0.21, 0.03, 0.0]
5	[-0.08, 0.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.06, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.0, 0.02, -0.18]	[0.2, 0.05, -0.18]	[0.21, 0.03, 0.0]
6	[-0.04, 0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.06, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.0, 0.01, -0.18]	[0.21, 0.04, -0.17]	[0.21, 0.03, 0.0]
7	[-0.02, 0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.07, 1.0]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.0, 0.01, -0.18]	[0.21, 0.04, -0.17]	[0.21, 0.03, 0.01]
8	[-0.0, 0.09, -1.79, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.07, 0.98]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.0, 0.01, -0.16]	[0.21, 0.04, -0.16]	[0.21, 0.03, 0.01]
9	[-0.03, 0.07, -1.64, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.07, 0.96]	[-0.15, 0.08, 0.82]	[0.06, 0.11, 0.82]	[-0.01, 0.01, -0.14]	[0.2, 0.04, -0.14]	[0.21, 0.03, 0.01]
