step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.28, -2.63, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.1, 1.01]	[0.09, -0.35, 0.86]	[0.09, 0.25, 0.16]
1	[1.14, -2.49, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.12, 1.01]	[0.09, -0.35, 0.86]	[0.07, 0.23, 0.16]
2	[0.95, -2.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.14, 1.0]	[0.09, -0.35, 0.86]	[0.05, 0.21, 0.15]
3	[0.75, -2.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.17, 1.0]	[0.09, -0.35, 0.86]	[0.03, 0.19, 0.15]
4	[0.58, -1.87, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.19, 1.0]	[0.09, -0.35, 0.86]	[0.02, 0.16, 0.15]
5	[0.44, -1.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.22, 1.0]	[0.09, -0.35, 0.86]	[0.01, 0.14, 0.14]
6	[0.33, -1.38, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.24, 1.0]	[0.09, -0.35, 0.86]	[0.0, 0.11, 0.14]
7	[0.25, -1.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.26, 1.0]	[0.09, -0.35, 0.86]	[-0.0, 0.09, 0.14]
8	[0.18, -0.89, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.29, 1.0]	[0.09, -0.35, 0.86]	[-0.0, 0.07, 0.14]
9	[0.14, -0.67, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.3, 1.0]	[0.09, -0.35, 0.86]	[-0.01, 0.05, 0.14]
10	[0.1, -0.49, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.32, 1.0]	[0.09, -0.35, 0.86]	[-0.01, 0.04, 0.14]
11	[0.08, -0.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.33, 1.0]	[0.09, -0.35, 0.86]	[-0.01, 0.03, 0.14]
12	[0.05, -0.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.34, 1.01]	[0.09, -0.35, 0.86]	[-0.01, 0.02, 0.14]
13	[0.04, -0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.34, 1.01]	[0.09, -0.35, 0.86]	[-0.01, 0.01, 0.14]
14	[0.03, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.34, 1.01]	[0.09, -0.35, 0.86]	[-0.01, 0.01, 0.15]
15	[0.02, -0.08, -1.31, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.35, 0.99]	[0.09, -0.35, 0.86]	[-0.01, 0.01, 0.13]
16	[0.0, -0.07, -1.14, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.35, 0.97]	[0.09, -0.35, 0.86]	[-0.01, 0.01, 0.11]
17	[-0.01, -0.06, -0.91, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.35, 0.95]	[0.09, -0.35, 0.86]	[-0.01, 0.0, 0.08]
18	[-0.01, -0.05, -0.7, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.35, 0.93]	[0.09, -0.35, 0.86]	[-0.01, 0.0, 0.07]
19	[-0.01, -0.04, -0.52, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.35, 0.91]	[0.09, -0.35, 0.86]	[-0.01, 0.0, 0.05]
20	[0.0, -0.03, -0.39, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.35, 0.9]	[0.09, -0.35, 0.86]	[-0.0, 0.0, 0.04]
21	[0.01, -0.02, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.35, 0.9]	[0.09, -0.35, 0.86]	[-0.0, 0.0, 0.04]
22	[0.02, -0.01, -0.21, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.35, 0.89]	[0.09, -0.35, 0.86]	[-0.0, 0.0, 0.03]
23	[0.02, -0.0, -0.15, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.35, 0.89]	[0.09, -0.35, 0.86]	[-0.0, -0.0, 0.03]
24	[0.03, 0.0, -0.11, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.35, 0.88]	[0.09, -0.35, 0.86]	[-0.0, -0.0, 0.02]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.35, 0.88]	[0.09, -0.35, 0.86]	[0.0, -0.0, 0.02]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.35, 0.88]	[0.09, -0.35, 0.86]	[0.0, -0.0, 0.02]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.35, 0.9]	[0.08, -0.35, 0.87]	[0.0, -0.0, 0.03]
28	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.36, 0.92]	[0.08, -0.36, 0.89]	[0.0, -0.0, 0.03]
29	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.36, 0.94]	[0.08, -0.36, 0.92]	[0.0, -0.0, 0.03]
30	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.36, 0.96]	[0.08, -0.36, 0.94]	[0.0, -0.0, 0.03]
31	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.36, 0.99]	[0.08, -0.36, 0.96]	[0.0, -0.0, 0.03]
32	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.36, 1.01]	[0.08, -0.36, 0.98]	[0.0, -0.0, 0.03]
33	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.36, 1.03]	[0.08, -0.36, 1.01]	[0.0, -0.0, 0.03]
34	[1.2, 7.58, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.34, 1.05]	[0.09, -0.34, 1.03]	[0.0, -0.0, 0.03]
35	[1.07, 7.43, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.11, -0.32, 1.06]	[0.11, -0.32, 1.03]	[0.0, -0.0, 0.03]
36	[0.88, 7.2, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.12, -0.29, 1.05]	[0.13, -0.29, 1.03]	[0.0, -0.0, 0.03]
37	[0.69, 6.96, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.27, 1.05]	[0.15, -0.27, 1.03]	[0.0, 0.0, 0.03]
38	[0.52, 6.72, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, -0.25, 1.05]	[0.16, -0.25, 1.03]	[0.0, 0.0, 0.03]
39	[0.39, 6.48, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.22, 1.05]	[0.17, -0.22, 1.03]	[0.0, 0.0, 0.03]
40	[0.28, 6.25, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.2, 1.06]	[0.18, -0.2, 1.03]	[0.0, 0.0, 0.03]
41	[0.2, 6.02, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.18, 1.06]	[0.18, -0.18, 1.03]	[0.0, 0.0, 0.03]
42	[0.14, 5.78, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.15, 1.06]	[0.19, -0.15, 1.03]	[0.0, 0.0, 0.03]
43	[0.09, 5.55, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.13, 1.06]	[0.19, -0.13, 1.03]	[0.0, 0.0, 0.03]
