step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.17, -2.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.1, 1.01]	[0.07, -0.34, 0.86]	[0.08, 0.24, 0.16]
1	[1.03, -2.39, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.12, 1.0]	[0.07, -0.34, 0.86]	[0.06, 0.22, 0.15]
2	[0.84, -2.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.14, 1.0]	[0.07, -0.34, 0.86]	[0.04, 0.2, 0.15]
3	[0.66, -1.99, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.17, 1.0]	[0.07, -0.34, 0.86]	[0.03, 0.18, 0.15]
4	[0.51, -1.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.19, 1.0]	[0.07, -0.34, 0.86]	[0.02, 0.15, 0.14]
5	[0.39, -1.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 1.0]	[0.07, -0.34, 0.86]	[0.01, 0.13, 0.14]
6	[0.29, -1.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.24, 1.0]	[0.07, -0.34, 0.86]	[0.0, 0.1, 0.14]
7	[0.22, -1.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.26, 1.0]	[0.07, -0.34, 0.86]	[-0.0, 0.08, 0.14]
8	[0.16, -0.79, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.28, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.06, 0.14]
9	[0.12, -0.58, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.3, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.04, 0.14]
10	[0.09, -0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.31, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.03, 0.14]
11	[0.07, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.32, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.02, 0.14]
12	[0.05, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.33, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.02, 0.14]
13	[0.04, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.33, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.01, 0.14]
14	[0.03, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 1.0]	[0.07, -0.34, 0.86]	[-0.01, 0.01, 0.14]
15	[0.02, -0.07, -1.29, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.99]	[0.07, -0.34, 0.86]	[-0.01, 0.01, 0.13]
16	[0.0, -0.06, -1.12, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.96]	[0.07, -0.34, 0.86]	[-0.01, 0.01, 0.1]
17	[-0.01, -0.06, -0.9, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.94]	[0.07, -0.34, 0.86]	[-0.01, 0.0, 0.08]
18	[-0.02, -0.05, -0.68, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.93]	[0.07, -0.34, 0.86]	[-0.01, 0.0, 0.07]
19	[-0.01, -0.04, -0.51, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.91]	[0.07, -0.34, 0.86]	[-0.01, 0.0, 0.05]
20	[-0.0, -0.03, -0.38, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.9]	[0.07, -0.34, 0.86]	[-0.0, 0.0, 0.04]
21	[0.01, -0.02, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.89]	[0.07, -0.34, 0.86]	[-0.0, 0.0, 0.03]
22	[0.02, -0.01, -0.2, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.89]	[0.07, -0.34, 0.86]	[-0.0, 0.0, 0.03]
23	[0.03, -0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.89]	[0.07, -0.34, 0.86]	[0.0, -0.0, 0.03]
24	[0.03, 0.0, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.34, 0.88]	[0.07, -0.34, 0.86]	[0.0, -0.0, 0.02]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.06, -0.34, 0.88]	[0.07, -0.34, 0.86]	[0.0, -0.0, 0.02]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.06, -0.34, 0.88]	[0.07, -0.34, 0.86]	[0.0, -0.0, 0.02]
