step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.04]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.12, -0.37, 0.06]	[-0.06, -0.28, 0.04]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.06]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, 0.04]	[-0.06, -0.28, 0.02]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.08]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, 0.02]	[-0.06, -0.28, -0.0]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.1]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, -0.0]	[-0.06, -0.28, -0.03]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.12]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, -0.02]	[-0.05, -0.28, -0.05]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.15]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, -0.05]	[-0.05, -0.28, -0.07]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.17]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.37, -0.07]	[-0.05, -0.28, -0.09]
7	[-0.51, -2.52, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.0, 1.19]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.36, -0.09]	[-0.04, -0.26, -0.12]
8	[-0.43, -2.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.02, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.09, -0.34, -0.1]	[-0.03, -0.24, -0.13]
9	[-0.34, -2.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.04, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.08, -0.31, -0.1]	[-0.03, -0.22, -0.13]
10	[-0.26, -1.9, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.07, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.07, -0.29, -0.1]	[-0.02, -0.19, -0.13]
11	[-0.2, -1.67, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.09, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.07, -0.27, -0.1]	[-0.01, -0.17, -0.13]
12	[-0.13, -1.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.24, -0.1]	[-0.01, -0.15, -0.13]
13	[-0.08, -1.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.13, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.22, -0.1]	[-0.0, -0.12, -0.12]
14	[-0.04, -0.99, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.16, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.2, -0.1]	[-0.0, -0.1, -0.12]
15	[-0.01, -0.77, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.18, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.18, -0.1]	[0.0, -0.08, -0.12]
16	[0.01, -0.58, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.19, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.17, -0.1]	[0.0, -0.07, -0.12]
17	[0.01, -0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.2, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.15, -0.1]	[0.0, -0.06, -0.12]
18	[0.01, -0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.21, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.15, -0.1]	[0.0, -0.05, -0.12]
