step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.04]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.12, -0.34, 0.06]	[-0.06, -0.25, 0.04]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.06]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.12, -0.34, 0.04]	[-0.05, -0.25, 0.02]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.08]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.11, -0.34, 0.02]	[-0.05, -0.25, -0.0]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.1]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.11, -0.34, 0.0]	[-0.05, -0.25, -0.02]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.12]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.11, -0.34, -0.02]	[-0.05, -0.25, -0.05]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.14]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.11, -0.34, -0.04]	[-0.04, -0.25, -0.07]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.17]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.11, -0.34, -0.07]	[-0.04, -0.25, -0.09]
7	[-0.43, -2.27, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.0, 1.19]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.1, -0.33, -0.09]	[-0.04, -0.24, -0.12]
8	[-0.36, -2.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.02, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.31, -0.1]	[-0.03, -0.21, -0.12]
9	[-0.28, -1.89, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.05, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.28, -0.1]	[-0.02, -0.19, -0.13]
10	[-0.22, -1.66, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.07, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.08, -0.26, -0.1]	[-0.02, -0.17, -0.13]
11	[-0.16, -1.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.09, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.08, -0.24, -0.1]	[-0.01, -0.14, -0.12]
12	[-0.11, -1.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.12, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.07, -0.21, -0.1]	[-0.01, -0.12, -0.12]
13	[-0.07, -0.97, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.14, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.07, -0.19, -0.1]	[-0.0, -0.1, -0.12]
14	[-0.03, -0.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.16, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.17, -0.1]	[-0.0, -0.08, -0.12]
15	[-0.01, -0.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.17, 1.2]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.16, -0.1]	[0.0, -0.07, -0.12]
16	[0.0, -0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.18, 1.19]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.15, -0.09]	[0.0, -0.06, -0.12]
17	[0.01, -0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.19, 1.19]	[-0.21, -0.33, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.14, -0.09]	[0.0, -0.05, -0.12]
