step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.03]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.21, 0.1, 0.07]	[0.32, 0.06, 0.04]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.05]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.21, 0.1, 0.05]	[0.32, 0.06, 0.02]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.07]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.22, 0.1, 0.03]	[0.32, 0.06, 0.0]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.1]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.22, 0.1, 0.0]	[0.32, 0.06, -0.02]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.12]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.22, 0.1, -0.02]	[0.33, 0.06, -0.04]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.14]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.22, 0.1, -0.04]	[0.33, 0.06, -0.07]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.16]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.22, 0.1, -0.06]	[0.33, 0.06, -0.09]
7	[3.29, 0.89, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.18]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.21, 0.08, -0.08]	[0.32, 0.05, -0.11]
8	[3.16, 0.74, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.19]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.19, 0.06, -0.09]	[0.3, 0.03, -0.11]
9	[2.96, 0.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.04, 1.18]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.17, 0.05, -0.08]	[0.27, 0.02, -0.11]
10	[2.74, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.05, 1.18]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.15, 0.04, -0.08]	[0.25, 0.01, -0.11]
11	[2.52, 0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.06, 1.18]	[0.1, 0.09, 1.1]	[0.21, 0.06, 1.08]	[0.12, 0.03, -0.08]	[0.23, -0.0, -0.11]
