step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.02]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.34, 0.14, 0.08]	[0.39, 0.04, 0.05]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.04]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.34, 0.14, 0.06]	[0.4, 0.04, 0.03]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.0, 1.07]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.34, 0.14, 0.03]	[0.4, 0.04, 0.01]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.0, 1.09]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.35, 0.14, 0.01]	[0.4, 0.04, -0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.0, 1.11]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.35, 0.14, -0.01]	[0.4, 0.04, -0.04]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.0, 1.13]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.35, 0.14, -0.03]	[0.41, 0.04, -0.06]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.0, 1.16]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.35, 0.14, -0.06]	[0.41, 0.04, -0.08]
7	[4.07, 0.65, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.18]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.34, 0.13, -0.08]	[0.39, 0.03, -0.1]
8	[3.94, 0.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.18]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.32, 0.11, -0.08]	[0.37, 0.02, -0.1]
9	[3.74, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.03, 1.18]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.29, 0.1, -0.08]	[0.35, 0.01, -0.1]
10	[3.52, 0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.04, 1.18]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.27, 0.09, -0.08]	[0.33, -0.0, -0.1]
11	[3.29, 0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.04, 1.17]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.25, 0.09, -0.07]	[0.31, -0.01, -0.1]
12	[3.07, 0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.05, 1.17]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.23, 0.08, -0.07]	[0.28, -0.01, -0.1]
13	[2.84, 0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.05, 1.17]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.2, 0.08, -0.07]	[0.26, -0.02, -0.1]
14	[2.61, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.05, 1.17]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.18, 0.08, -0.07]	[0.24, -0.02, -0.1]
15	[2.39, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.06, 1.17]	[0.22, 0.13, 1.1]	[0.28, 0.04, 1.08]	[0.16, 0.08, -0.07]	[0.22, -0.02, -0.1]
16	[2.16, 0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, 0.05, 1.17]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.14, 0.08, -0.07]	[0.2, -0.02, -0.09]
17	[2.01, 0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, 0.05, 1.17]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.14, 0.08, -0.07]	[0.2, -0.02, -0.1]
18	[1.99, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.05, 1.17]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.15, 0.08, -0.07]	[0.2, -0.02, -0.1]
19	[2.05, 0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.06, 1.18]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.15, 0.07, -0.08]	[0.21, -0.03, -0.11]
20	[2.06, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.06, 1.2]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.16, 0.07, -0.1]	[0.22, -0.03, -0.13]
21	[2.22, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.07, 1.23]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.17, 0.06, -0.13]	[0.22, -0.03, -0.16]
22	[2.25, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.07, 1.26]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.18, 0.06, -0.16]	[0.24, -0.04, -0.19]
23	[2.38, -0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.07, 1.3]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.19, 0.06, -0.2]	[0.25, -0.04, -0.22]
24	[2.46, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.07, 1.34]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.18, 0.06, -0.24]	[0.24, -0.03, -0.27]
25	[2.37, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.06, 1.35]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.19, 0.06, -0.25]	[0.24, -0.03, -0.27]
26	[2.45, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.07, 1.32]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.18, 0.06, -0.22]	[0.23, -0.04, -0.24]
27	[2.34, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.07, 1.32]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.16, 0.06, -0.22]	[0.22, -0.04, -0.25]
28	[2.21, -0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.07, 1.34]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.15, 0.06, -0.24]	[0.21, -0.04, -0.27]
29	[2.08, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, 0.07, 1.36]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.14, 0.06, -0.26]	[0.2, -0.04, -0.28]
30	[1.95, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.07, 1.37]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.12, 0.06, -0.27]	[0.18, -0.03, -0.29]
31	[1.77, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.07, 1.37]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.11, 0.06, -0.27]	[0.17, -0.03, -0.3]
32	[1.69, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.06, 1.38]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.11, 0.07, -0.28]	[0.17, -0.03, -0.3]
33	[1.67, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.06, 1.39]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.11, 0.07, -0.29]	[0.17, -0.03, -0.31]
34	[1.65, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.06, 1.39]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.11, 0.07, -0.29]	[0.16, -0.03, -0.32]
35	[1.64, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.06, 1.39]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.11, 0.07, -0.29]	[0.16, -0.03, -0.32]
36	[1.64, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, 0.06, 1.4]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.1, 0.07, -0.3]	[0.16, -0.03, -0.32]
37	[1.56, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, 0.06, 1.4]	[0.23, 0.13, 1.1]	[0.28, 0.03, 1.08]	[0.08, 0.07, -0.3]	[0.14, -0.03, -0.32]
38	[1.36, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, 0.06, 1.4]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.06, 0.07, -0.3]	[0.12, -0.02, -0.32]
39	[1.21, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, 0.06, 1.4]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.05, 0.07, -0.3]	[0.11, -0.02, -0.32]
40	[1.07, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.06, 1.4]	[0.23, 0.13, 1.1]	[0.29, 0.03, 1.08]	[0.04, 0.07, -0.3]	[0.1, -0.02, -0.32]
