step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[0.96, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.08, -0.01, -0.19]	[0.03, 0.14, -0.19]	[-0.05, 0.15, 0.0]
1	[0.82, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.01, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.07, -0.01, -0.19]	[0.01, 0.15, -0.18]	[-0.05, 0.15, 0.0]
2	[0.65, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.01, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.05, -0.01, -0.19]	[-0.0, 0.15, -0.18]	[-0.05, 0.15, 0.0]
3	[0.5, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.01, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.04, -0.0, -0.19]	[-0.02, 0.15, -0.18]	[-0.05, 0.15, 0.0]
4	[0.38, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.0, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.03, -0.0, -0.19]	[-0.03, 0.15, -0.18]	[-0.05, 0.15, 0.0]
5	[0.28, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.0, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.02, -0.0, -0.19]	[-0.04, 0.15, -0.18]	[-0.05, 0.15, 0.0]
6	[0.19, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.01, -0.0, -0.19]	[-0.04, 0.15, -0.19]	[-0.05, 0.15, 0.0]
7	[0.13, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 1.01]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.01, -0.0, -0.19]	[-0.05, 0.15, -0.19]	[-0.05, 0.15, 0.01]
8	[0.09, -0.02, -1.91, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.99]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.18]	[-0.05, 0.15, -0.17]	[-0.05, 0.15, 0.01]
9	[0.05, -0.01, -1.75, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.97]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.15]	[-0.05, 0.15, -0.15]	[-0.05, 0.15, 0.01]
10	[0.01, -0.01, -1.53, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.95]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.13]	[-0.05, 0.15, -0.13]	[-0.05, 0.15, 0.01]
11	[0.0, -0.0, -1.3, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.93]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.11]	[-0.05, 0.15, -0.1]	[-0.05, 0.15, 0.01]
12	[0.0, -0.0, -1.07, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.9]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.08]	[-0.05, 0.15, -0.08]	[-0.05, 0.15, 0.01]
13	[0.01, -0.0, -0.83, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.88]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, 0.0, -0.06]	[-0.05, 0.15, -0.06]	[-0.05, 0.15, 0.01]
14	[0.02, 0.0, -0.62, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.87]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, 0.0, -0.05]	[-0.05, 0.15, -0.04]	[-0.05, 0.15, 0.01]
15	[0.04, 0.0, -0.45, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.85]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, 0.0, -0.03]	[-0.05, 0.15, -0.03]	[-0.05, 0.15, 0.01]
16	[0.05, 0.0, -0.33, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.84]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.01, 0.0, -0.02]	[-0.05, 0.15, -0.02]	[-0.05, 0.15, 0.01]
17	[0.05, 0.0, -0.23, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.84]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.01, -0.0, -0.02]	[-0.05, 0.15, -0.01]	[-0.05, 0.15, 0.01]
18	[0.05, -0.0, -0.17, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.83]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.01]	[-0.05, 0.15, -0.01]	[-0.05, 0.15, 0.01]
19	[0.05, -0.0, -0.12, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.83]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.01]	[-0.05, 0.15, -0.0]	[-0.05, 0.15, 0.01]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.0, 0.83]	[-0.01, 0.0, 0.82]	[-0.07, 0.15, 0.82]	[0.0, -0.0, -0.01]	[-0.05, 0.15, -0.0]	[-0.05, 0.15, 0.01]
