step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[2.95, 1.79, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.0, 1.0]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.28, 0.16, -0.18]	[-0.09, -0.07, -0.18]	[-0.37, -0.24, 0.0]
1	[2.81, 1.65, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.02, 1.0]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.26, 0.15, -0.18]	[-0.11, -0.09, -0.17]	[-0.37, -0.24, 0.0]
2	[2.62, 1.46, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.04, 1.0]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.24, 0.13, -0.18]	[-0.13, -0.11, -0.17]	[-0.37, -0.24, 0.0]
3	[2.41, 1.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.06, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.22, 0.1, -0.17]	[-0.15, -0.14, -0.17]	[-0.37, -0.24, 0.0]
4	[2.21, 1.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.2, 0.08, -0.17]	[-0.17, -0.16, -0.17]	[-0.37, -0.24, 0.0]
5	[2.0, 0.78, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.11, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.18, 0.06, -0.17]	[-0.19, -0.18, -0.17]	[-0.37, -0.24, 0.0]
6	[1.79, 0.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.13, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.16, 0.04, -0.17]	[-0.21, -0.2, -0.17]	[-0.37, -0.24, 0.0]
7	[1.57, 0.39, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.14, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.14, 0.03, -0.17]	[-0.23, -0.21, -0.16]	[-0.37, -0.24, 0.01]
8	[1.36, 0.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.15, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.11, 0.02, -0.17]	[-0.25, -0.22, -0.16]	[-0.37, -0.24, 0.01]
9	[1.14, 0.18, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.15, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.09, 0.01, -0.17]	[-0.28, -0.23, -0.16]	[-0.37, -0.24, 0.01]
10	[0.92, 0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.16, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.07, 0.01, -0.17]	[-0.3, -0.23, -0.16]	[-0.37, -0.24, 0.01]
11	[0.71, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, 0.16, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.05, 0.01, -0.17]	[-0.32, -0.23, -0.16]	[-0.37, -0.24, 0.01]
12	[0.53, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, 0.16, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.04, 0.0, -0.17]	[-0.33, -0.23, -0.16]	[-0.37, -0.24, 0.01]
13	[0.38, 0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, 0.16, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.03, 0.0, -0.17]	[-0.34, -0.23, -0.17]	[-0.37, -0.24, 0.01]
14	[0.27, 0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, 0.16, 0.99]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.02, 0.0, -0.17]	[-0.35, -0.24, -0.17]	[-0.37, -0.24, 0.01]
15	[0.18, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, 0.17, 1.0]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.01, 0.0, -0.18]	[-0.36, -0.24, -0.17]	[-0.37, -0.24, 0.01]
16	[0.1, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, 0.17, 1.0]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.01, -0.0, -0.18]	[-0.36, -0.24, -0.17]	[-0.37, -0.24, 0.01]
17	[0.05, -0.0, -1.78, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.98]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, -0.0, -0.16]	[-0.37, -0.24, -0.16]	[-0.37, -0.24, 0.01]
18	[0.02, -0.01, -1.62, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.96]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, -0.0, -0.14]	[-0.37, -0.24, -0.13]	[-0.37, -0.24, 0.01]
19	[0.0, -0.01, -1.4, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.94]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[-0.0, -0.0, -0.12]	[-0.37, -0.24, -0.11]	[-0.37, -0.24, 0.01]
20	[-0.0, -0.01, -1.17, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.91]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, -0.0, -0.09]	[-0.37, -0.24, -0.09]	[-0.37, -0.24, 0.01]
21	[0.0, -0.0, -0.93, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.89]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, 0.0, -0.07]	[-0.37, -0.24, -0.07]	[-0.37, -0.24, 0.01]
22	[0.01, 0.0, -0.7, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.87]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, 0.0, -0.05]	[-0.37, -0.24, -0.05]	[-0.37, -0.24, 0.01]
23	[0.02, 0.0, -0.52, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.86]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, 0.0, -0.04]	[-0.37, -0.24, -0.03]	[-0.37, -0.24, 0.01]
24	[0.03, 0.0, -0.38, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.85]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, 0.0, -0.03]	[-0.37, -0.24, -0.02]	[-0.37, -0.24, 0.01]
25	[0.03, 0.0, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.19, 0.17, 0.84]	[0.19, 0.17, 0.82]	[-0.18, -0.07, 0.82]	[0.0, -0.0, -0.02]	[-0.37, -0.24, -0.02]	[-0.37, -0.24, 0.01]
