step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[0.95, 2.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.08, 0.19, -0.18]	[-0.01, -0.13, -0.18]	[-0.09, -0.32, 0.0]
1	[0.82, 1.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.02, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.07, 0.18, -0.18]	[-0.03, -0.14, -0.18]	[-0.09, -0.32, 0.0]
2	[0.65, 1.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.04, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.05, 0.16, -0.18]	[-0.04, -0.16, -0.18]	[-0.09, -0.32, 0.0]
3	[0.51, 1.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.04, 0.13, -0.18]	[-0.06, -0.19, -0.18]	[-0.09, -0.32, 0.0]
4	[0.39, 1.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.09, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.03, 0.11, -0.18]	[-0.06, -0.21, -0.18]	[-0.09, -0.32, 0.0]
5	[0.29, 1.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.12, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.02, 0.08, -0.18]	[-0.07, -0.24, -0.18]	[-0.09, -0.32, 0.0]
6	[0.22, 0.84, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.14, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.02, 0.06, -0.18]	[-0.08, -0.26, -0.18]	[-0.09, -0.32, 0.0]
7	[0.17, 0.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.16, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.01, 0.04, -0.18]	[-0.08, -0.28, -0.18]	[-0.09, -0.32, 0.01]
8	[0.13, 0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.17, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.01, 0.03, -0.18]	[-0.08, -0.29, -0.18]	[-0.09, -0.32, 0.01]
9	[0.1, 0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.18, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.01, 0.02, -0.18]	[-0.09, -0.3, -0.18]	[-0.09, -0.32, 0.01]
10	[0.08, 0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.18, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.01, 0.01, -0.18]	[-0.09, -0.31, -0.18]	[-0.09, -0.32, 0.01]
11	[0.06, 0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.19, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.0, 0.01, -0.18]	[-0.09, -0.31, -0.18]	[-0.09, -0.32, 0.01]
12	[0.04, 0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.19, 1.0]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.0, 0.01, -0.18]	[-0.09, -0.31, -0.18]	[-0.09, -0.32, 0.01]
13	[0.03, 0.07, -1.82, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.19, 0.99]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.0, 0.01, -0.17]	[-0.09, -0.31, -0.16]	[-0.09, -0.32, 0.01]
14	[0.01, 0.06, -1.65, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.19, 0.96]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[-0.0, 0.01, -0.14]	[-0.1, -0.31, -0.14]	[-0.09, -0.32, 0.01]
15	[-0.01, 0.06, -1.43, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.19, 0.94]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[-0.0, 0.01, -0.12]	[-0.1, -0.31, -0.12]	[-0.09, -0.32, 0.01]
16	[-0.02, 0.06, -1.2, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.19, 0.92]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[-0.0, 0.0, -0.1]	[-0.1, -0.31, -0.09]	[-0.09, -0.32, 0.01]
17	[-0.02, 0.05, -0.97, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.2, 0.89]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[-0.0, 0.0, -0.07]	[-0.1, -0.32, -0.07]	[-0.09, -0.32, 0.01]
18	[-0.02, 0.04, -0.75, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.2, 0.87]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[-0.0, 0.0, -0.06]	[-0.09, -0.32, -0.05]	[-0.09, -0.32, 0.01]
19	[-0.0, 0.03, -0.55, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.2, 0.86]	[-0.01, 0.2, 0.82]	[-0.11, -0.12, 0.82]	[0.0, 0.0, -0.04]	[-0.09, -0.32, -0.04]	[-0.09, -0.32, 0.01]
