step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.33, -1.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.13, 1.0]	[0.18, -0.26, 0.86]	[0.21, 0.11, 0.16]
1	[2.18, -1.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.15, 1.0]	[0.18, -0.26, 0.86]	[0.19, 0.1, 0.16]
2	[1.99, -1.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.17, 0.99]	[0.18, -0.26, 0.86]	[0.17, 0.08, 0.16]
3	[1.78, -0.9, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.2, 0.99]	[0.18, -0.26, 0.86]	[0.14, 0.06, 0.15]
4	[1.57, -0.68, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.22, 0.99]	[0.18, -0.26, 0.86]	[0.12, 0.04, 0.15]
5	[1.36, -0.48, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.23, 0.99]	[0.18, -0.26, 0.86]	[0.1, 0.03, 0.14]
6	[1.15, -0.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.24, 0.99]	[0.18, -0.26, 0.86]	[0.08, 0.02, 0.14]
7	[0.94, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.25, 0.99]	[0.18, -0.26, 0.86]	[0.06, 0.01, 0.13]
8	[0.73, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.25, 0.99]	[0.18, -0.26, 0.86]	[0.04, 0.01, 0.13]
9	[0.54, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.26, 0.99]	[0.18, -0.26, 0.86]	[0.03, 0.0, 0.13]
10	[0.39, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.26, 0.99]	[0.18, -0.26, 0.86]	[0.02, 0.0, 0.13]
11	[0.27, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.26, 0.99]	[0.18, -0.26, 0.86]	[0.01, 0.0, 0.13]
12	[0.18, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.26, 0.99]	[0.18, -0.26, 0.86]	[-0.0, 0.0, 0.14]
13	[0.11, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 1.0]	[0.18, -0.26, 0.86]	[-0.01, 0.0, 0.14]
14	[0.07, -0.01, -1.21, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.98]	[0.18, -0.26, 0.86]	[-0.01, -0.0, 0.12]
15	[0.03, -0.0, -1.05, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.96]	[0.18, -0.26, 0.86]	[-0.01, 0.0, 0.1]
16	[0.02, -0.01, -0.82, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.94]	[0.18, -0.26, 0.86]	[-0.01, 0.0, 0.08]
17	[0.01, -0.01, -0.62, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.92]	[0.18, -0.26, 0.86]	[-0.0, 0.0, 0.06]
18	[0.01, -0.01, -0.46, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.91]	[0.18, -0.26, 0.86]	[-0.0, 0.0, 0.05]
19	[0.01, -0.01, -0.34, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.9]	[0.18, -0.26, 0.86]	[-0.0, 0.0, 0.04]
20	[0.01, -0.0, -0.25, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.89]	[0.18, -0.26, 0.86]	[-0.0, 0.0, 0.03]
21	[0.01, -0.0, -0.19, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.89]	[0.18, -0.26, 0.86]	[-0.0, -0.0, 0.03]
22	[0.01, -0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.89]	[0.18, -0.26, 0.86]	[-0.0, -0.0, 0.03]
23	[0.01, 0.0, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.26, 0.88]	[0.18, -0.26, 0.86]	[-0.0, -0.0, 0.02]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.26, 0.88]	[0.18, -0.26, 0.86]	[-0.0, -0.0, 0.02]
