step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.83, -2.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.01, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.17, -0.19, -0.19]	[-0.02, -0.08, -0.19]	[-0.19, 0.11, 0.0]
1	[1.68, -1.93, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.02, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.15, -0.17, -0.19]	[-0.04, -0.06, -0.18]	[-0.19, 0.11, 0.0]
2	[1.49, -1.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.04, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.13, -0.15, -0.19]	[-0.06, -0.04, -0.18]	[-0.19, 0.11, 0.0]
3	[1.28, -1.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.07, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.11, -0.13, -0.18]	[-0.08, -0.02, -0.18]	[-0.19, 0.11, 0.0]
4	[1.07, -1.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.09, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.09, -0.11, -0.18]	[-0.1, 0.0, -0.18]	[-0.19, 0.11, 0.0]
5	[0.86, -1.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.12, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.07, -0.08, -0.18]	[-0.12, 0.03, -0.18]	[-0.19, 0.11, 0.0]
6	[0.67, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.14, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.05, -0.06, -0.18]	[-0.14, 0.05, -0.18]	[-0.19, 0.11, 0.0]
7	[0.51, -0.6, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.16, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.04, -0.04, -0.18]	[-0.15, 0.07, -0.18]	[-0.19, 0.11, 0.01]
8	[0.38, -0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.17, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.03, -0.03, -0.18]	[-0.16, 0.08, -0.18]	[-0.19, 0.11, 0.01]
9	[0.28, -0.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.18, 1.0]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.02, -0.02, -0.19]	[-0.17, 0.09, -0.18]	[-0.19, 0.11, 0.01]
10	[0.19, -0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.19, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.01, -0.01, -0.19]	[-0.18, 0.1, -0.18]	[-0.19, 0.11, 0.01]
11	[0.13, -0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.19, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.01, -0.01, -0.19]	[-0.18, 0.1, -0.18]	[-0.19, 0.11, 0.01]
12	[0.08, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.19, 1.01]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.01, -0.19]	[-0.19, 0.1, -0.18]	[-0.19, 0.11, 0.01]
13	[0.05, -0.06, -1.89, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.99]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.17]	[-0.19, 0.11, -0.17]	[-0.19, 0.11, 0.01]
14	[0.02, -0.04, -1.73, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.97]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.15]	[-0.19, 0.11, -0.14]	[-0.19, 0.11, 0.01]
15	[0.01, -0.04, -1.5, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.95]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.13]	[-0.19, 0.11, -0.12]	[-0.19, 0.11, 0.01]
16	[0.0, -0.04, -1.27, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.92]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.1]	[-0.19, 0.11, -0.1]	[-0.19, 0.11, 0.01]
17	[0.0, -0.03, -1.03, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.9]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.08]	[-0.19, 0.11, -0.07]	[-0.19, 0.11, 0.01]
18	[0.01, -0.03, -0.79, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.88]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.06]	[-0.19, 0.11, -0.05]	[-0.19, 0.11, 0.01]
19	[0.02, -0.02, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.86]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.04]	[-0.19, 0.11, -0.04]	[-0.19, 0.11, 0.01]
20	[0.03, -0.02, -0.43, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.85]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.03]	[-0.19, 0.11, -0.03]	[-0.19, 0.11, 0.01]
21	[0.03, -0.01, -0.32, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.84]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, -0.0, -0.02]	[-0.19, 0.11, -0.02]	[-0.19, 0.11, 0.01]
22	[0.03, -0.0, -0.23, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.2, 0.84]	[0.08, -0.2, 0.82]	[-0.11, -0.09, 0.82]	[0.0, 0.0, -0.02]	[-0.19, 0.11, -0.01]	[-0.19, 0.11, 0.01]
