step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.02, 1.02]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.08, -0.31, 0.08]	[-0.01, -0.23, 0.06]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.02, 1.04]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.08, -0.31, 0.06]	[-0.01, -0.23, 0.03]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.02, 1.06]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.08, -0.31, 0.04]	[-0.01, -0.23, 0.01]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.02, 1.08]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.31, 0.02]	[-0.0, -0.23, -0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.02, 1.11]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.31, -0.01]	[-0.0, -0.23, -0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.02, 1.13]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.31, -0.03]	[-0.0, -0.23, -0.05]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.02, 1.15]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.31, -0.05]	[0.0, -0.23, -0.08]
7	[0.01, -2.03, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.03, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.3, -0.08]	[0.0, -0.21, -0.1]
8	[0.02, -1.87, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.06, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.27, -0.08]	[0.0, -0.19, -0.11]
9	[0.03, -1.64, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.08, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.25, -0.08]	[0.0, -0.17, -0.11]
10	[0.02, -1.4, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.1, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.23, -0.08]	[0.0, -0.14, -0.11]
11	[0.02, -1.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.2, -0.08]	[0.0, -0.12, -0.11]
12	[0.03, -0.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.15, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.18, -0.08]	[0.0, -0.1, -0.1]
13	[0.03, -0.72, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.17, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.16, -0.08]	[0.0, -0.08, -0.1]
14	[0.03, -0.53, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.18, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.15, -0.08]	[0.0, -0.06, -0.1]
15	[0.03, -0.4, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.19, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.14, -0.08]	[0.0, -0.05, -0.1]
16	[0.02, -0.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.2, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.13, -0.08]	[0.0, -0.05, -0.1]
17	[0.01, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.2, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.13, -0.08]	[0.0, -0.04, -0.1]
18	[0.01, -0.16, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.21, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.12, -0.08]	[0.0, -0.04, -0.1]
19	[0.0, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.21, 1.18]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.12, -0.08]	[-0.0, -0.03, -0.1]
20	[-0.0, -0.13, -1.55, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.21, 1.16]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.12, -0.06]	[-0.0, -0.03, -0.09]
21	[-0.01, -0.11, -1.39, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.14]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.11, -0.04]	[-0.0, -0.03, -0.07]
22	[-0.02, -0.08, -1.16, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.12]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.08]	[-0.07, -0.11, -0.02]	[-0.0, -0.03, -0.04]
23	[-0.01, -0.07, -0.93, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.1]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.07]	[-0.07, -0.11, 0.0]	[0.0, -0.03, -0.03]
24	[0.0, -0.05, -0.78, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.08]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.05]	[-0.07, -0.11, 0.02]	[0.0, -0.03, -0.03]
25	[0.04, -0.05, -0.79, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.06]	[-0.21, -0.33, 1.1]	[-0.13, -0.25, 1.03]	[-0.07, -0.11, 0.04]	[0.01, -0.03, -0.03]
26	[0.08, -0.06, -0.79, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.04]	[-0.21, -0.33, 1.1]	[-0.12, -0.25, 1.01]	[-0.07, -0.11, 0.06]	[0.01, -0.03, -0.03]
27	[0.13, -0.07, -0.78, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.02]	[-0.21, -0.33, 1.1]	[-0.11, -0.25, 1.0]	[-0.08, -0.11, 0.08]	[0.02, -0.03, -0.02]
28	[0.19, -0.08, -0.75, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.22, 1.01]	[-0.21, -0.33, 1.1]	[-0.1, -0.25, 0.99]	[-0.08, -0.11, 0.09]	[0.02, -0.03, -0.02]
29	[0.24, -0.09, -0.71, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.23, 0.99]	[-0.21, -0.33, 1.1]	[-0.1, -0.25, 0.99]	[-0.09, -0.1, 0.11]	[0.02, -0.03, -0.0]
30	[0.18, -0.07, -0.53, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.23, 0.98]	[-0.21, -0.33, 1.1]	[-0.1, -0.25, 0.99]	[-0.09, -0.1, 0.12]	[0.02, -0.03, 0.01]
31	[0.16, -0.06, -0.43, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.23, 0.97]	[-0.21, -0.33, 1.1]	[-0.09, -0.26, 0.98]	[-0.09, -0.1, 0.13]	[0.02, -0.03, 0.01]
32	[0.21, -0.07, -0.39, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.23, 0.96]	[-0.21, -0.33, 1.1]	[-0.08, -0.26, 0.97]	[-0.1, -0.1, 0.14]	[0.02, -0.03, 0.02]
33	[0.25, -0.08, -0.35, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.23, 0.95]	[-0.21, -0.33, 1.1]	[-0.08, -0.26, 0.97]	[-0.1, -0.1, 0.15]	[0.03, -0.03, 0.02]
34	[0.28, -0.09, -0.31, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.23, 0.94]	[-0.21, -0.33, 1.1]	[-0.07, -0.26, 0.96]	[-0.11, -0.1, 0.16]	[0.03, -0.03, 0.02]
35	[0.31, -0.09, -0.27, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.23, 0.93]	[-0.21, -0.33, 1.1]	[-0.06, -0.26, 0.96]	[-0.11, -0.1, 0.17]	[0.03, -0.03, 0.03]
