step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.22, -1.88, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.12, 1.03]	[0.1, -0.29, 0.86]	[0.09, 0.17, 0.18]
1	[1.07, -1.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.14, 1.02]	[0.1, -0.29, 0.86]	[0.06, 0.15, 0.18]
2	[0.88, -1.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.16, 1.02]	[0.1, -0.29, 0.86]	[0.05, 0.13, 0.17]
3	[0.69, -1.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.18, 1.02]	[0.1, -0.29, 0.86]	[0.03, 0.11, 0.17]
4	[0.53, -1.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.21, 1.02]	[0.1, -0.29, 0.86]	[0.02, 0.09, 0.17]
5	[0.4, -0.87, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.23, 1.02]	[0.1, -0.29, 0.86]	[0.01, 0.06, 0.16]
6	[0.3, -0.65, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.25, 1.02]	[0.1, -0.29, 0.86]	[0.0, 0.05, 0.16]
7	[0.22, -0.46, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.26, 1.02]	[0.1, -0.29, 0.86]	[-0.01, 0.03, 0.16]
8	[0.16, -0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.27, 1.02]	[0.1, -0.29, 0.86]	[-0.01, 0.02, 0.16]
9	[0.12, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.28, 1.03]	[0.1, -0.29, 0.86]	[-0.01, 0.02, 0.16]
10	[0.08, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.28, 1.03]	[0.1, -0.29, 0.86]	[-0.02, 0.01, 0.16]
11	[0.05, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.03]	[0.1, -0.29, 0.86]	[-0.02, 0.01, 0.17]
12	[0.03, -0.07, -1.51, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.01]	[0.1, -0.29, 0.86]	[-0.02, 0.01, 0.15]
13	[0.01, -0.06, -1.35, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.99]	[0.1, -0.29, 0.86]	[-0.02, 0.01, 0.13]
14	[-0.01, -0.05, -1.13, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.96]	[0.1, -0.29, 0.86]	[-0.02, 0.01, 0.1]
15	[-0.01, -0.05, -0.9, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.94]	[0.1, -0.29, 0.86]	[-0.01, 0.0, 0.08]
16	[-0.01, -0.04, -0.68, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.93]	[0.1, -0.29, 0.86]	[-0.01, 0.0, 0.06]
17	[0.0, -0.03, -0.51, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.91]	[0.1, -0.29, 0.86]	[-0.01, 0.0, 0.05]
18	[0.01, -0.02, -0.37, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.9]	[0.1, -0.29, 0.86]	[-0.0, 0.0, 0.04]
19	[0.02, -0.01, -0.27, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.89]	[0.1, -0.29, 0.86]	[-0.0, 0.0, 0.03]
20	[0.03, -0.01, -0.19, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.29, 0.89]	[0.1, -0.29, 0.86]	[-0.0, -0.0, 0.03]
21	[0.04, 0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.3, 0.88]	[0.1, -0.29, 0.86]	[-0.0, -0.0, 0.02]
22	[0.04, 0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.3, 0.88]	[0.1, -0.29, 0.86]	[0.0, -0.0, 0.02]
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.88]	[0.1, -0.29, 0.86]	[0.0, -0.0, 0.02]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.88]	[0.1, -0.29, 0.86]	[0.0, -0.0, 0.02]
25	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.9]	[0.1, -0.3, 0.87]	[0.0, -0.0, 0.02]
26	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.92]	[0.1, -0.3, 0.89]	[0.0, -0.0, 0.02]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.94]	[0.09, -0.3, 0.92]	[0.0, -0.0, 0.02]
28	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.96]	[0.09, -0.3, 0.94]	[0.0, -0.0, 0.02]
29	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 0.98]	[0.09, -0.3, 0.96]	[0.0, -0.0, 0.02]
30	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.3, 1.01]	[0.09, -0.3, 0.98]	[0.0, -0.0, 0.02]
31	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.3, 1.03]	[0.09, -0.3, 1.01]	[0.0, -0.0, 0.03]
32	[1.09, 7.01, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.1, -0.28, 1.05]	[0.1, -0.28, 1.03]	[0.0, -0.0, 0.03]
