step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.01]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.31, 0.04, 0.09]	[0.36, -0.06, 0.06]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.04]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.31, 0.04, 0.06]	[0.36, -0.06, 0.04]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.06]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.32, 0.04, 0.04]	[0.36, -0.06, 0.02]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.08]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.32, 0.04, 0.02]	[0.37, -0.06, -0.0]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 1.1]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.32, 0.04, -0.0]	[0.37, -0.06, -0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 1.12]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.32, 0.04, -0.02]	[0.37, -0.06, -0.05]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 1.15]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.32, 0.04, -0.05]	[0.37, -0.06, -0.07]
7	[3.7, -0.36, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.0, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.31, 0.05, -0.07]	[0.36, -0.05, -0.09]
8	[3.57, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.01, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.29, 0.05, -0.07]	[0.34, -0.05, -0.1]
9	[3.37, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.27, 0.06, -0.07]	[0.31, -0.04, -0.09]
10	[3.15, -0.16, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.02, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.24, 0.06, -0.07]	[0.29, -0.04, -0.09]
11	[2.92, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.02, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.22, 0.07, -0.07]	[0.27, -0.03, -0.09]
12	[2.7, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.02, 1.17]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.2, 0.07, -0.07]	[0.25, -0.03, -0.09]
13	[2.47, -0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.02, 1.16]	[0.2, 0.05, 1.1]	[0.25, -0.05, 1.08]	[0.18, 0.07, -0.06]	[0.22, -0.03, -0.09]
14	[2.24, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.02, 1.16]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.16, 0.07, -0.06]	[0.21, -0.03, -0.09]
15	[2.13, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.02, 1.17]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.16, 0.06, -0.07]	[0.21, -0.04, -0.09]
16	[2.11, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.02, 1.17]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.16, 0.06, -0.07]	[0.21, -0.04, -0.09]
17	[2.14, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.01, 1.18]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.17, 0.06, -0.08]	[0.22, -0.04, -0.1]
18	[2.19, -0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.01, 1.19]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.18, 0.05, -0.09]	[0.23, -0.05, -0.11]
19	[2.32, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.0, 1.22]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.07]	[0.18, 0.05, -0.12]	[0.23, -0.05, -0.15]
20	[2.3, -0.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.0, 1.24]	[0.21, 0.04, 1.1]	[0.26, -0.06, 1.08]	[0.2, 0.04, -0.14]	[0.25, -0.06, -0.17]
