step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
22	[0.03, 0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.01]
23	[0.02, 0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.84]	[0.08, -0.05, 0.83]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, -0.0]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.84]	[0.08, -0.05, 0.83]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.02]	[-0.12, 0.04, -0.01]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.85]	[0.08, -0.05, 0.84]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.02]	[-0.12, 0.04, -0.01]
30	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.85]	[0.08, -0.05, 0.84]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.03]	[-0.12, 0.04, -0.02]
31	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.86]	[0.08, -0.05, 0.85]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.03]	[-0.12, 0.04, -0.02]
32	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.86]	[0.08, -0.05, 0.85]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.04]	[-0.12, 0.04, -0.03]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.87]	[0.08, -0.05, 0.86]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.05]	[-0.12, 0.04, -0.03]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.88]	[0.08, -0.05, 0.87]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.05]	[-0.12, 0.04, -0.04]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.88]	[0.08, -0.05, 0.87]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.06]	[-0.12, 0.04, -0.05]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.89]	[0.08, -0.05, 0.88]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.06]	[-0.12, 0.04, -0.05]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.89]	[0.07, -0.05, 0.88]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.07]	[-0.12, 0.04, -0.06]
38	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.9]	[0.07, -0.05, 0.89]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.12, 0.04, -0.07]	[-0.12, 0.04, -0.06]
