step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.04, 1.0]	[-0.15, 0.19, 1.1]	[-0.04, 0.17, 1.08]	[-0.02, 0.23, 0.1]	[0.09, 0.2, 0.09]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.13, 1.0]	[-0.15, 0.19, 1.1]	[-0.04, 0.17, 1.1]	[-0.03, 0.32, 0.1]	[0.08, 0.3, 0.09]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.16, 1.03]	[-0.15, 0.19, 1.1]	[-0.04, 0.17, 1.05]	[-0.05, 0.36, 0.07]	[0.06, 0.33, 0.02]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.17, 1.05]	[-0.14, 0.19, 1.1]	[-0.03, 0.17, 1.03]	[-0.05, 0.37, 0.05]	[0.07, 0.34, -0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.18, 1.06]	[-0.14, 0.19, 1.1]	[-0.03, 0.16, 1.02]	[-0.03, 0.37, 0.04]	[0.08, 0.34, -0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.17, 1.06]	[-0.14, 0.19, 1.1]	[-0.03, 0.16, 1.02]	[-0.02, 0.37, 0.04]	[0.1, 0.34, -0.04]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.17, 1.07]	[-0.14, 0.19, 1.1]	[-0.03, 0.17, 1.03]	[-0.0, 0.37, 0.03]	[0.11, 0.34, -0.05]
7	[1.09, 3.62, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.15, 1.09]	[-0.14, 0.19, 1.1]	[-0.03, 0.17, 1.05]	[-0.01, 0.35, 0.01]	[0.1, 0.33, -0.04]
8	[0.98, 3.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.13, 1.1]	[-0.14, 0.19, 1.1]	[-0.03, 0.17, 1.06]	[-0.03, 0.33, 0.0]	[0.08, 0.31, -0.03]
9	[0.81, 3.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.13, 1.1]	[-0.14, 0.19, 1.1]	[-0.03, 0.18, 1.07]	[-0.03, 0.33, 0.0]	[0.08, 0.31, -0.02]
10	[0.84, 3.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.13, 1.1]	[-0.14, 0.19, 1.1]	[-0.03, 0.18, 1.08]	[-0.02, 0.33, 0.0]	[0.09, 0.31, -0.02]
11	[0.88, 3.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.13, 1.09]	[-0.14, 0.19, 1.1]	[-0.03, 0.18, 1.08]	[-0.01, 0.32, 0.01]	[0.1, 0.3, -0.02]
12	[1.0, 3.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.12, 1.09]	[-0.14, 0.19, 1.1]	[-0.03, 0.18, 1.08]	[-0.0, 0.31, 0.01]	[0.11, 0.29, -0.02]
13	[1.1, 3.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[-0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
14	[1.09, 3.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
15	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
16	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
17	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
18	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
19	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
20	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
21	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
22	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
23	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
24	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
25	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
26	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
27	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
28	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
29	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
30	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
31	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
32	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
33	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
34	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
35	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
36	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
37	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
38	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
39	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
40	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
41	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
42	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
43	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
44	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
45	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
46	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
47	[1.1, 3.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.11, 1.1]	[-0.14, 0.2, 1.1]	[-0.03, 0.18, 1.08]	[0.0, 0.31, 0.0]	[0.11, 0.29, -0.02]
