step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[-0.56, -1.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.0, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.05, -0.14, -0.19]	[0.07, -0.18, -0.19]	[0.12, -0.04, 0.0]
1	[-0.48, -1.37, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.04, -0.12, -0.19]	[0.08, -0.16, -0.19]	[0.12, -0.04, 0.0]
2	[-0.38, -1.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.03, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.03, -0.1, -0.19]	[0.09, -0.14, -0.19]	[0.12, -0.04, 0.0]
3	[-0.29, -0.98, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.06, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.08, -0.19]	[0.1, -0.12, -0.19]	[0.12, -0.04, 0.0]
4	[-0.21, -0.77, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.07, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.01, -0.06, -0.19]	[0.11, -0.1, -0.19]	[0.12, -0.04, 0.0]
5	[-0.15, -0.58, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.09, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.01, -0.04, -0.19]	[0.11, -0.08, -0.19]	[0.12, -0.04, 0.0]
6	[-0.09, -0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.1, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.0, -0.03, -0.19]	[0.12, -0.07, -0.18]	[0.12, -0.04, 0.0]
7	[-0.04, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.11, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.0, -0.02, -0.19]	[0.12, -0.06, -0.18]	[0.12, -0.04, 0.01]
8	[-0.01, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.12, 1.01]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.0, -0.02, -0.19]	[0.12, -0.06, -0.18]	[0.12, -0.04, 0.01]
9	[0.02, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.12, 1.0]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.0, -0.01, -0.18]	[0.13, -0.05, -0.18]	[0.12, -0.04, 0.01]
10	[0.04, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.13, 1.0]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, -0.01, -0.18]	[0.13, -0.05, -0.18]	[0.12, -0.04, 0.01]
11	[0.06, -0.08, -1.83, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.13, 0.99]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.0, -0.01, -0.17]	[0.12, -0.05, -0.16]	[0.12, -0.04, 0.01]
12	[0.01, -0.06, -1.68, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.13, 0.97]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.01, -0.01, -0.15]	[0.11, -0.05, -0.14]	[0.12, -0.04, 0.01]
13	[-0.08, -0.06, -1.5, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.13, 0.95]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.01, -0.0, -0.13]	[0.11, -0.05, -0.13]	[0.12, -0.04, 0.01]
14	[-0.15, -0.05, -1.31, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 0.93]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.0, -0.11]	[0.1, -0.05, -0.11]	[0.12, -0.04, 0.01]
15	[-0.19, -0.04, -1.12, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 0.91]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.0, -0.09]	[0.1, -0.05, -0.09]	[0.12, -0.04, 0.01]
16	[-0.22, -0.04, -0.93, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 0.89]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.0, -0.07]	[0.1, -0.05, -0.07]	[0.12, -0.04, 0.01]
17	[-0.22, -0.04, -0.73, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 0.88]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.0, -0.06]	[0.1, -0.05, -0.05]	[0.12, -0.04, 0.01]
18	[-0.2, -0.04, -0.57, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 0.86]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.02, -0.0, -0.04]	[0.11, -0.05, -0.04]	[0.12, -0.04, 0.01]
19	[-0.16, -0.04, -0.43, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.13, 0.85]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[-0.01, -0.0, -0.03]	[0.11, -0.05, -0.03]	[0.12, -0.04, 0.01]
20	[-0.09, -0.03, -0.31, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.13, 0.84]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.0, -0.0, -0.02]	[0.12, -0.04, -0.02]	[0.12, -0.04, 0.01]
21	[0.01, -0.02, -0.21, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.13, 0.83]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, 0.0, -0.01]	[0.13, -0.04, -0.01]	[0.12, -0.04, 0.01]
22	[0.12, 0.01, -0.12, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.14, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.02, 0.01, -0.0]	[0.15, -0.04, 0.0]	[0.12, -0.04, 0.01]
23	[0.23, 0.06, -0.05, 0.0, 0.0, 0.0, -1.0]	[-0.19, -0.14, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.03, 0.01, 0.0]	[0.15, -0.03, 0.01]	[0.12, -0.04, 0.01]
24	[0.3, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.19, -0.15, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.03, 0.02, 0.0]	[0.15, -0.03, 0.01]	[0.12, -0.04, 0.01]
25	[0.32, 0.16, 0.03, 0.0, 0.0, 0.0, -1.0]	[-0.19, -0.15, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.03, 0.02, 0.0]	[0.15, -0.02, 0.01]	[0.12, -0.04, 0.01]
26	[0.29, 0.18, 0.04, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.15, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.02, 0.02, 0.0]	[0.15, -0.02, 0.01]	[0.12, -0.04, 0.01]
27	[0.24, 0.17, 0.03, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.15, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.02, 0.01, 0.0]	[0.14, -0.03, 0.01]	[0.12, -0.04, 0.0]
28	[0.18, 0.15, 0.02, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.14, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, 0.01, 0.0]	[0.13, -0.03, 0.01]	[0.12, -0.04, 0.01]
29	[0.15, 0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.14, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, 0.01, -0.0]	[0.13, -0.04, 0.01]	[0.12, -0.04, 0.01]
30	[0.1, 0.08, -0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.14, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, 0.0, -0.0]	[0.13, -0.04, 0.0]	[0.12, -0.04, 0.01]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.16, -0.13, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, 0.0, -0.0]	[0.12, -0.04, 0.0]	[0.12, -0.04, 0.01]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.16, -0.13, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.12, -0.04, 0.0]	[0.12, -0.04, 0.01]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.16, -0.13, 0.82]	[-0.16, -0.13, 0.82]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, 0.0]	[0.12, -0.05, 0.0]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.16, -0.13, 0.83]	[-0.16, -0.13, 0.83]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.0]	[0.12, -0.05, -0.0]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.83]	[-0.16, -0.13, 0.83]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.01]	[0.12, -0.05, -0.01]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.84]	[-0.16, -0.13, 0.84]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.01]	[0.12, -0.05, -0.01]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.84]	[-0.16, -0.12, 0.84]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.02]	[0.13, -0.05, -0.02]
38	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.85]	[-0.16, -0.12, 0.85]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.02]	[0.13, -0.05, -0.02]
39	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.85]	[-0.16, -0.12, 0.85]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.03]	[0.13, -0.05, -0.03]
40	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.86]	[-0.16, -0.12, 0.86]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.05, -0.04]	[0.13, -0.05, -0.03]
41	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.87]	[-0.17, -0.12, 0.86]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.06, -0.04]	[0.13, -0.05, -0.04]
42	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.87]	[-0.17, -0.12, 0.87]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.06, -0.05]	[0.13, -0.05, -0.05]
43	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.88]	[-0.17, -0.12, 0.88]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.06, -0.05]	[0.13, -0.05, -0.05]
44	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.88]	[-0.17, -0.12, 0.88]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.06, -0.06]	[0.13, -0.05, -0.06]
45	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.89]	[-0.17, -0.12, 0.89]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.13, -0.06, -0.06]	[0.13, -0.06, -0.06]
46	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, -0.12, 0.89]	[-0.17, -0.12, 0.89]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.14, -0.06, -0.07]	[0.13, -0.06, -0.07]
47	[1.29, -0.56, 2.5, 0.0, 0.0, 0.0, 1.0]	[-0.16, -0.12, 0.91]	[-0.16, -0.12, 0.91]	[-0.04, -0.17, 0.82]	[0.01, -0.0, -0.0]	[0.12, -0.05, -0.08]	[0.12, -0.05, -0.08]
