step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.3, -0.83, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.1, 1.01]	[0.19, -0.17, 0.86]	[0.19, 0.07, 0.18]
1	[2.15, -0.72, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.11, 1.01]	[0.19, -0.17, 0.86]	[0.17, 0.05, 0.18]
2	[1.96, -0.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.12, 1.0]	[0.19, -0.17, 0.86]	[0.15, 0.04, 0.17]
3	[1.75, -0.47, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.14, 1.0]	[0.19, -0.17, 0.86]	[0.13, 0.03, 0.17]
4	[1.54, -0.34, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.15, 1.0]	[0.19, -0.17, 0.86]	[0.11, 0.02, 0.16]
5	[1.32, -0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.16, 1.0]	[0.19, -0.17, 0.86]	[0.09, 0.01, 0.16]
6	[1.1, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.16, 1.0]	[0.19, -0.17, 0.86]	[0.06, 0.01, 0.15]
7	[0.88, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.17, 1.0]	[0.19, -0.17, 0.86]	[0.05, 0.0, 0.15]
8	[0.68, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.17, 1.0]	[0.19, -0.17, 0.86]	[0.03, 0.0, 0.15]
9	[0.5, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.17, 1.0]	[0.19, -0.17, 0.86]	[0.02, 0.0, 0.15]
10	[0.36, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.17, 1.0]	[0.19, -0.17, 0.86]	[0.0, 0.0, 0.15]
11	[0.25, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.17, 1.0]	[0.19, -0.17, 0.86]	[-0.0, 0.0, 0.15]
12	[0.17, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.17, 1.01]	[0.19, -0.17, 0.86]	[-0.01, 0.0, 0.15]
13	[0.11, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.17, 1.01]	[0.19, -0.17, 0.86]	[-0.01, 0.0, 0.15]
