step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[0.06, 1.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.01, 0.17, -0.21]	[0.24, -0.04, -0.2]	[0.24, -0.21, 0.0]
1	[0.05, 1.69, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.15, -0.21]	[0.24, -0.06, -0.2]	[0.24, -0.21, 0.0]
2	[0.04, 1.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.05, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.13, -0.21]	[0.24, -0.08, -0.2]	[0.24, -0.21, 0.0]
3	[0.03, 1.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.07, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.11, -0.21]	[0.24, -0.1, -0.2]	[0.24, -0.21, 0.0]
4	[0.03, 1.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.09, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.09, -0.21]	[0.24, -0.12, -0.2]	[0.24, -0.21, 0.0]
5	[0.03, 0.89, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.11, 1.03]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.07, -0.21]	[0.24, -0.15, -0.2]	[0.24, -0.21, 0.0]
6	[0.03, 0.67, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.13, 1.02]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.0, 0.05, -0.2]	[0.24, -0.16, -0.2]	[0.24, -0.21, 0.0]
7	[0.04, 0.49, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.14, 1.02]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.01, 0.03, -0.2]	[0.24, -0.18, -0.2]	[0.24, -0.21, 0.01]
8	[0.06, 0.34, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.15, 1.02]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.01, 0.02, -0.2]	[0.25, -0.19, -0.2]	[0.24, -0.21, 0.01]
9	[0.07, 0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.16, 1.02]	[-0.08, 0.18, 0.82]	[0.16, -0.04, 0.82]	[0.01, 0.02, -0.2]	[0.25, -0.2, -0.19]	[0.24, -0.21, 0.01]
