step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[0.25, -2.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.1, 1.01]	[-0.02, -0.33, 0.86]	[-0.0, 0.23, 0.15]
1	[0.22, -2.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.12, 1.01]	[-0.02, -0.33, 0.86]	[-0.01, 0.21, 0.15]
2	[0.17, -2.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.14, 1.01]	[-0.02, -0.33, 0.86]	[-0.01, 0.19, 0.15]
3	[0.14, -1.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.16, 1.01]	[-0.02, -0.33, 0.86]	[-0.01, 0.17, 0.15]
4	[0.11, -1.72, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.18, 1.01]	[-0.02, -0.33, 0.86]	[-0.01, 0.15, 0.15]
5	[0.09, -1.48, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.21, 1.01]	[-0.02, -0.33, 0.86]	[-0.02, 0.13, 0.15]
6	[0.08, -1.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.23, 1.01]	[-0.02, -0.33, 0.86]	[-0.02, 0.1, 0.15]
7	[0.07, -1.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.25, 1.01]	[-0.02, -0.33, 0.86]	[-0.02, 0.08, 0.14]
8	[0.07, -0.77, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.27, 1.0]	[-0.02, -0.33, 0.86]	[-0.02, 0.06, 0.14]
9	[0.07, -0.57, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.29, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.04, 0.14]
10	[0.08, -0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.3, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.03, 0.14]
11	[0.08, -0.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.31, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.02, 0.14]
12	[0.08, -0.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.32, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.01, 0.14]
13	[0.07, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.32, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.01, 0.14]
14	[0.06, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.32, 1.0]	[-0.02, -0.33, 0.86]	[-0.01, 0.01, 0.14]
15	[0.05, -0.07, -1.25, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.32, 0.98]	[-0.02, -0.33, 0.86]	[-0.02, 0.01, 0.12]
16	[0.01, -0.06, -1.09, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.33, 0.97]	[-0.02, -0.33, 0.86]	[-0.02, 0.0, 0.11]
17	[-0.04, -0.03, -0.94, 0.0, 0.0, 0.0, -1.0]	[-0.0, -0.34, 0.97]	[-0.02, -0.33, 0.86]	[-0.03, -0.01, 0.11]
