step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[2.18, 1.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.03, 1.02]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.2, 0.09, -0.2]	[0.05, -0.08, -0.19]	[-0.15, -0.18, 0.0]
1	[2.03, 0.93, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.05, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.18, 0.08, -0.19]	[0.03, -0.1, -0.19]	[-0.15, -0.18, 0.0]
2	[1.84, 0.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.06, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.16, 0.06, -0.19]	[0.01, -0.12, -0.19]	[-0.15, -0.18, 0.0]
3	[1.63, 0.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.08, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.14, 0.04, -0.19]	[-0.01, -0.13, -0.18]	[-0.15, -0.18, 0.0]
4	[1.42, 0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.12, 0.03, -0.19]	[-0.03, -0.15, -0.18]	[-0.15, -0.18, 0.0]
5	[1.21, 0.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.1, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.1, 0.02, -0.19]	[-0.05, -0.16, -0.18]	[-0.15, -0.18, 0.0]
6	[1.0, 0.18, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.11, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.08, 0.01, -0.19]	[-0.07, -0.17, -0.18]	[-0.15, -0.18, 0.0]
7	[0.78, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.12, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.06, 0.01, -0.19]	[-0.09, -0.17, -0.18]	[-0.15, -0.18, 0.01]
8	[0.59, 0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.12, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.04, 0.0, -0.19]	[-0.11, -0.17, -0.18]	[-0.15, -0.18, 0.01]
9	[0.43, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.12, 1.01]	[0.12, 0.12, 0.82]	[-0.04, -0.06, 0.82]	[0.03, 0.0, -0.19]	[-0.12, -0.17, -0.18]	[-0.15, -0.18, 0.01]
