step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.89, 0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.11, 1.03]	[0.17, -0.09, 0.86]	[0.14, -0.02, 0.2]
1	[1.75, 0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.1, 1.02]	[0.17, -0.09, 0.86]	[0.12, -0.02, 0.19]
2	[1.55, 0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.1, 1.02]	[0.17, -0.09, 0.86]	[0.1, -0.01, 0.18]
3	[1.34, 0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.1, 1.02]	[0.17, -0.09, 0.86]	[0.08, -0.01, 0.18]
4	[1.13, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.09, 1.02]	[0.17, -0.09, 0.86]	[0.06, -0.01, 0.17]
5	[0.9, 0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.09, 1.02]	[0.17, -0.09, 0.86]	[0.04, -0.01, 0.17]
6	[0.69, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.09, 1.02]	[0.17, -0.09, 0.86]	[0.02, -0.0, 0.17]
7	[0.51, 0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.09, 1.02]	[0.17, -0.09, 0.86]	[0.01, -0.0, 0.16]
8	[0.37, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.09, 1.02]	[0.17, -0.09, 0.86]	[-0.0, -0.0, 0.16]
9	[0.26, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.09, 1.02]	[0.17, -0.09, 0.86]	[-0.01, -0.0, 0.16]
10	[0.17, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.09, 1.02]	[0.17, -0.09, 0.86]	[-0.01, -0.0, 0.16]
11	[0.11, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.09, 1.03]	[0.17, -0.09, 0.86]	[-0.02, -0.0, 0.16]
12	[0.07, 0.0, -1.51, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.09, 1.01]	[0.17, -0.09, 0.86]	[-0.02, -0.0, 0.15]
13	[0.04, 0.0, -1.35, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.99]	[0.17, -0.09, 0.86]	[-0.02, -0.0, 0.13]
14	[0.02, 0.0, -1.12, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.96]	[0.17, -0.09, 0.86]	[-0.02, -0.0, 0.1]
15	[0.01, 0.0, -0.89, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.94]	[0.17, -0.09, 0.86]	[-0.01, -0.0, 0.08]
16	[0.01, 0.01, -0.68, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.93]	[0.17, -0.09, 0.86]	[-0.01, -0.0, 0.06]
17	[0.02, 0.01, -0.5, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.91]	[0.17, -0.09, 0.86]	[-0.01, -0.0, 0.05]
18	[0.02, 0.01, -0.37, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.9]	[0.17, -0.09, 0.86]	[-0.0, -0.0, 0.04]
19	[0.03, 0.01, -0.27, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.89]	[0.17, -0.09, 0.86]	[-0.0, -0.0, 0.03]
20	[0.03, 0.01, -0.2, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.89]	[0.17, -0.09, 0.86]	[-0.0, -0.0, 0.03]
21	[0.02, 0.01, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.89]	[0.17, -0.09, 0.86]	[-0.0, -0.0, 0.03]
