step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.46, -2.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.11, 1.0]	[0.11, -0.3, 0.86]	[0.11, 0.19, 0.15]
1	[1.32, -1.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.12, 1.0]	[0.11, -0.3, 0.86]	[0.09, 0.18, 0.15]
2	[1.12, -1.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.14, 1.0]	[0.11, -0.3, 0.86]	[0.07, 0.16, 0.15]
3	[0.92, -1.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.17, 0.99]	[0.11, -0.3, 0.86]	[0.05, 0.13, 0.14]
4	[0.72, -1.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.19, 0.99]	[0.11, -0.3, 0.86]	[0.04, 0.11, 0.14]
5	[0.55, -1.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.22, 0.99]	[0.11, -0.3, 0.86]	[0.03, 0.08, 0.14]
6	[0.42, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.24, 0.99]	[0.11, -0.3, 0.86]	[0.02, 0.06, 0.14]
7	[0.31, -0.6, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.26, 0.99]	[0.11, -0.3, 0.86]	[0.01, 0.05, 0.14]
8	[0.23, -0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.27, 1.0]	[0.11, -0.3, 0.86]	[0.0, 0.03, 0.14]
9	[0.16, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.28, 1.0]	[0.11, -0.3, 0.86]	[-0.0, 0.02, 0.14]
10	[0.11, -0.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.0]	[0.11, -0.3, 0.86]	[-0.01, 0.02, 0.14]
11	[0.07, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.0]	[0.11, -0.3, 0.86]	[-0.01, 0.01, 0.14]
12	[0.05, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.0]	[0.11, -0.3, 0.86]	[-0.01, 0.01, 0.14]
13	[0.03, -0.07, -1.24, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 0.98]	[0.11, -0.3, 0.86]	[-0.01, 0.01, 0.12]
14	[0.01, -0.05, -1.08, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.29, 0.96]	[0.11, -0.3, 0.86]	[-0.01, 0.01, 0.1]
15	[-0.0, -0.05, -0.85, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.29, 0.94]	[0.11, -0.3, 0.86]	[-0.01, 0.01, 0.08]
16	[-0.0, -0.05, -0.64, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.3, 0.93]	[0.11, -0.3, 0.86]	[-0.01, 0.0, 0.07]
17	[-0.04, -0.02, -0.57, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.3, 0.93]	[0.11, -0.3, 0.86]	[-0.02, -0.0, 0.07]
18	[-0.08, 0.05, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.31, 0.93]	[0.11, -0.3, 0.86]	[-0.02, -0.01, 0.07]
19	[-0.12, 0.12, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.32, 0.93]	[0.1, -0.3, 0.86]	[-0.02, -0.01, 0.07]
20	[-0.17, 0.18, -0.6, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.32, 0.93]	[0.11, -0.3, 0.86]	[-0.03, -0.02, 0.07]
21	[-0.2, 0.23, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.03, -0.02, 0.07]
22	[-0.23, 0.26, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.03, -0.03, 0.07]
23	[-0.26, 0.29, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.03, -0.03, 0.07]
24	[-0.27, 0.31, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.04, -0.03, 0.07]
25	[-0.28, 0.33, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.04, -0.03, 0.07]
26	[-0.29, 0.34, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.33, 0.93]	[0.11, -0.3, 0.86]	[-0.04, -0.03, 0.07]
27	[-0.29, 0.35, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.34, 0.93]	[0.11, -0.3, 0.86]	[-0.04, -0.03, 0.07]
28	[-0.3, 0.36, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.34, 0.93]	[0.11, -0.3, 0.86]	[-0.04, -0.03, 0.07]
