step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.03, 1.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.01, 1.02]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.09, 0.09, -0.2]	[0.12, -0.06, -0.19]	[0.04, -0.15, 0.0]
1	[0.88, 0.88, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.03, 1.02]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.07, 0.07, -0.2]	[0.11, -0.08, -0.19]	[0.04, -0.15, 0.0]
2	[0.7, 0.71, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.04, 1.01]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.05, 0.06, -0.19]	[0.09, -0.1, -0.19]	[0.04, -0.15, 0.0]
3	[0.55, 0.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.06, 1.01]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.04, 0.04, -0.19]	[0.08, -0.11, -0.19]	[0.04, -0.15, 0.0]
4	[0.42, 0.4, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.07, 1.01]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.03, 0.03, -0.19]	[0.07, -0.12, -0.19]	[0.04, -0.15, 0.0]
5	[0.31, 0.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.08, 1.01]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.02, 0.02, -0.19]	[0.06, -0.13, -0.19]	[0.04, -0.15, 0.0]
6	[0.23, 0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 1.01]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.02, 0.01, -0.2]	[0.05, -0.14, -0.19]	[0.04, -0.15, 0.0]
7	[0.17, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.09, 1.02]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, 0.01, -0.2]	[0.05, -0.14, -0.19]	[0.04, -0.15, 0.01]
8	[0.12, 0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.09, 1.02]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.2]	[0.04, -0.15, -0.19]	[0.04, -0.15, 0.01]
9	[0.08, 0.04, -1.96, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 1.0]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.18]	[0.04, -0.15, -0.18]	[0.04, -0.15, 0.01]
10	[0.05, 0.03, -1.8, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.98]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.16]	[0.04, -0.15, -0.15]	[0.04, -0.15, 0.01]
11	[0.01, 0.03, -1.58, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.96]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[-0.0, 0.0, -0.14]	[0.04, -0.15, -0.13]	[0.04, -0.15, 0.01]
12	[-0.0, 0.04, -1.36, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.93]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[-0.0, 0.0, -0.11]	[0.03, -0.15, -0.11]	[0.04, -0.15, 0.01]
13	[-0.01, 0.04, -1.13, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.91]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[-0.0, 0.0, -0.09]	[0.04, -0.15, -0.08]	[0.04, -0.15, 0.01]
14	[-0.0, 0.04, -0.89, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.89]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.07]	[0.04, -0.15, -0.06]	[0.04, -0.15, 0.01]
15	[0.01, 0.03, -0.67, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.87]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.05]	[0.04, -0.15, -0.04]	[0.04, -0.15, 0.01]
16	[0.02, 0.02, -0.49, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.86]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.04]	[0.04, -0.15, -0.03]	[0.04, -0.15, 0.01]
17	[0.04, 0.01, -0.36, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.85]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, 0.0, -0.03]	[0.04, -0.15, -0.02]	[0.04, -0.15, 0.01]
18	[0.05, 0.0, -0.26, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.84]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, -0.0, -0.02]	[0.04, -0.15, -0.01]	[0.04, -0.15, 0.01]
19	[0.05, -0.01, -0.18, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, -0.0, -0.01]	[0.04, -0.15, -0.01]	[0.04, -0.15, 0.01]
20	[0.06, -0.02, -0.13, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, -0.0, -0.01]	[0.04, -0.15, -0.0]	[0.04, -0.15, 0.01]
21	[0.05, -0.03, -0.09, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.0, -0.0, -0.01]	[0.04, -0.15, -0.0]	[0.04, -0.15, 0.01]
22	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.01, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, -0.0, -0.01]	[0.04, -0.15, -0.0]	[0.04, -0.15, 0.01]
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.01, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, -0.0, -0.01]	[0.04, -0.16, -0.0]	[0.04, -0.15, 0.01]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.83]	[0.01, 0.1, 0.82]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.0]	[0.03, -0.16, 0.0]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.83]	[0.01, 0.1, 0.83]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.01]	[0.04, -0.16, -0.0]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.84]	[0.01, 0.1, 0.83]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.02]	[0.04, -0.16, -0.01]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.85]	[0.01, 0.1, 0.84]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.02]	[0.04, -0.16, -0.01]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.85]	[0.01, 0.1, 0.84]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.03]	[0.04, -0.16, -0.02]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.86]	[0.01, 0.1, 0.85]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.03]	[0.04, -0.16, -0.03]
30	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.86]	[0.01, 0.1, 0.86]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.04]	[0.04, -0.16, -0.03]
31	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.87]	[0.01, 0.1, 0.86]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.04]	[0.04, -0.16, -0.04]
32	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.87]	[0.01, 0.1, 0.87]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.05]	[0.04, -0.16, -0.04]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.88]	[0.01, 0.1, 0.87]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.06]	[0.04, -0.16, -0.05]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.89]	[0.01, 0.1, 0.88]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.06]	[0.04, -0.16, -0.05]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.89]	[0.01, 0.1, 0.88]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.07]	[0.04, -0.16, -0.06]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.9]	[0.01, 0.1, 0.89]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.07]	[0.04, -0.16, -0.07]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.0, 0.1, 0.9]	[0.01, 0.1, 0.9]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.15, -0.08]	[0.04, -0.16, -0.07]
38	[0.38, -1.56, 2.5, 0.0, 0.0, 0.0, 1.0]	[0.01, 0.09, 0.92]	[0.01, 0.09, 0.91]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.14, -0.09]	[0.03, -0.14, -0.09]
39	[0.34, -1.43, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.01, 0.07, 0.92]	[0.02, 0.07, 0.92]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.04, -0.13, -0.1]	[0.03, -0.13, -0.09]
40	[0.3, -1.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.02, 0.05, 0.92]	[0.02, 0.05, 0.92]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.03, -0.11, -0.1]	[0.02, -0.11, -0.09]
41	[0.24, -1.09, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.02, 0.03, 0.92]	[0.03, 0.03, 0.92]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.03, -0.09, -0.1]	[0.02, -0.09, -0.09]
42	[0.19, -0.89, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.02, 0.01, 0.92]	[0.03, 0.01, 0.91]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.02, -0.07, -0.1]	[0.02, -0.07, -0.09]
43	[0.15, -0.68, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.01, 0.92]	[0.03, -0.01, 0.91]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.02, -0.05, -0.1]	[0.01, -0.05, -0.09]
44	[0.12, -0.49, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.02, 0.92]	[0.04, -0.02, 0.91]	[0.05, -0.05, 0.82]	[0.01, 0.0, -0.01]	[0.02, -0.03, -0.1]	[0.01, -0.03, -0.09]
