step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.38, -1.72, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.03, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.12, -0.16, -0.18]	[0.2, -0.01, -0.18]	[0.07, 0.15, 0.0]
1	[1.23, -1.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.04, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.1, -0.14, -0.18]	[0.18, 0.01, -0.17]	[0.07, 0.15, 0.0]
2	[1.04, -1.4, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.07, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.08, -0.12, -0.18]	[0.16, 0.03, -0.17]	[0.07, 0.15, 0.0]
3	[0.84, -1.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.09, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.06, -0.1, -0.18]	[0.14, 0.06, -0.17]	[0.07, 0.15, 0.0]
4	[0.65, -0.96, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.11, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.05, -0.07, -0.18]	[0.12, 0.08, -0.17]	[0.07, 0.15, 0.0]
5	[0.5, -0.72, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.13, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.04, -0.05, -0.18]	[0.11, 0.1, -0.17]	[0.07, 0.15, 0.0]
6	[0.37, -0.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.15, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.03, -0.04, -0.18]	[0.1, 0.12, -0.17]	[0.07, 0.15, 0.0]
7	[0.28, -0.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.16, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.02, -0.02, -0.18]	[0.09, 0.13, -0.17]	[0.07, 0.15, 0.0]
8	[0.2, -0.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.17, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.01, -0.02, -0.18]	[0.09, 0.14, -0.17]	[0.07, 0.15, 0.0]
9	[0.14, -0.16, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.17, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.01, -0.01, -0.18]	[0.08, 0.14, -0.18]	[0.07, 0.15, 0.0]
10	[0.09, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.18, 1.0]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.01, -0.01, -0.18]	[0.08, 0.14, -0.18]	[0.07, 0.15, 0.0]
11	[0.06, -0.07, -1.81, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.98]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.0, -0.01, -0.17]	[0.08, 0.15, -0.16]	[0.07, 0.15, 0.0]
12	[0.03, -0.06, -1.65, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.96]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.0, -0.01, -0.14]	[0.07, 0.15, -0.14]	[0.07, 0.15, 0.0]
13	[0.01, -0.05, -1.42, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.94]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[-0.0, -0.0, -0.12]	[0.07, 0.15, -0.11]	[0.07, 0.15, 0.0]
14	[-0.0, -0.05, -1.19, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.92]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[-0.0, -0.0, -0.1]	[0.07, 0.15, -0.09]	[0.07, 0.15, 0.01]
15	[-0.0, -0.04, -0.96, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.89]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.0, -0.0, -0.07]	[0.07, 0.15, -0.07]	[0.07, 0.15, 0.01]
16	[0.01, -0.04, -0.73, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.18, 0.87]	[0.03, -0.18, 0.82]	[0.1, -0.03, 0.82]	[0.0, -0.0, -0.05]	[0.07, 0.15, -0.05]	[0.07, 0.15, 0.01]
