step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.03]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.1, -0.35, 0.07]	[-0.03, -0.26, 0.04]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.05]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.1, -0.35, 0.05]	[-0.03, -0.26, 0.02]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.07]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.09, -0.35, 0.03]	[-0.03, -0.26, 0.0]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.1]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.09, -0.35, 0.0]	[-0.03, -0.26, -0.02]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.12]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.09, -0.35, -0.02]	[-0.02, -0.26, -0.04]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.14]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.09, -0.35, -0.04]	[-0.02, -0.26, -0.07]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 1.16]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.09, -0.35, -0.06]	[-0.02, -0.26, -0.09]
7	[-0.22, -2.36, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.01, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.08, -0.34, -0.09]	[-0.02, -0.24, -0.11]
8	[-0.18, -2.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.03, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.08, -0.31, -0.09]	[-0.01, -0.22, -0.12]
9	[-0.14, -1.97, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.05, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.08, -0.29, -0.09]	[-0.01, -0.2, -0.12]
10	[-0.11, -1.74, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.08, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.27, -0.09]	[-0.01, -0.18, -0.12]
11	[-0.08, -1.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.1, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.24, -0.09]	[-0.01, -0.15, -0.12]
12	[-0.05, -1.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.12, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.22, -0.09]	[-0.0, -0.13, -0.12]
13	[-0.02, -1.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.14, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.2, -0.09]	[-0.0, -0.11, -0.12]
14	[-0.0, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.16, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.18, -0.09]	[0.0, -0.09, -0.12]
15	[0.01, -0.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.18, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.16, -0.09]	[0.0, -0.07, -0.11]
16	[0.02, -0.46, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.19, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.15, -0.09]	[0.0, -0.06, -0.11]
17	[0.02, -0.34, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.2, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.14, -0.09]	[0.0, -0.05, -0.11]
18	[0.01, -0.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.13, -0.09]	[0.0, -0.04, -0.11]
19	[0.01, -0.18, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.13, -0.09]	[0.0, -0.04, -0.12]
20	[0.0, -0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.19]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.06, -0.13, -0.09]	[-0.0, -0.03, -0.12]
21	[-0.0, -0.15, -1.66, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.18]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.12, -0.08]	[-0.0, -0.03, -0.1]
22	[-0.01, -0.12, -1.5, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.15]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.12, -0.05]	[-0.0, -0.03, -0.08]
23	[-0.02, -0.09, -1.27, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.13]	[-0.2, -0.34, 1.1]	[-0.14, -0.25, 1.08]	[-0.07, -0.12, -0.03]	[-0.0, -0.03, -0.05]
