step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[0.33, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.03, -0.02, -0.18]	[0.12, 0.1, -0.18]	[0.09, 0.12, 0.0]
1	[0.28, -0.18, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.0, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.02, -0.01, -0.18]	[0.12, 0.1, -0.18]	[0.09, 0.12, 0.0]
2	[0.22, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.0, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.02, -0.01, -0.18]	[0.11, 0.1, -0.18]	[0.09, 0.12, 0.0]
3	[0.17, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.0, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, -0.01, -0.18]	[0.11, 0.11, -0.18]	[0.09, 0.12, 0.0]
4	[0.13, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.0, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, -0.01, -0.18]	[0.1, 0.11, -0.18]	[0.09, 0.12, 0.0]
5	[0.1, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 1.0]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, -0.0, -0.18]	[0.1, 0.11, -0.18]	[0.09, 0.12, 0.0]
6	[0.07, -0.04, -1.82, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.99]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.0, -0.0, -0.17]	[0.1, 0.11, -0.16]	[0.09, 0.12, 0.0]
7	[0.03, -0.03, -1.66, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.01, 0.96]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[-0.0, -0.0, -0.14]	[0.09, 0.11, -0.14]	[0.09, 0.12, 0.01]
8	[-0.0, -0.03, -1.44, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.01, 0.94]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[-0.0, -0.0, -0.12]	[0.09, 0.11, -0.12]	[0.09, 0.12, 0.01]
9	[-0.01, -0.02, -1.22, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.01, 0.92]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[-0.0, -0.0, -0.1]	[0.09, 0.11, -0.09]	[0.09, 0.12, 0.01]
10	[-0.01, -0.02, -0.98, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.01, 0.89]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[-0.0, -0.0, -0.08]	[0.09, 0.11, -0.07]	[0.09, 0.12, 0.01]
11	[-0.0, -0.02, -0.75, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.01, 0.88]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.0, -0.0, -0.06]	[0.09, 0.11, -0.05]	[0.09, 0.12, 0.01]
12	[0.02, -0.02, -0.55, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.86]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.0, -0.0, -0.04]	[0.1, 0.12, -0.04]	[0.09, 0.12, 0.01]
13	[0.04, -0.01, -0.4, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.85]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, -0.0, -0.03]	[0.1, 0.12, -0.02]	[0.09, 0.12, 0.01]
14	[0.05, -0.01, -0.29, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.84]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, -0.0, -0.02]	[0.1, 0.12, -0.02]	[0.09, 0.12, 0.01]
15	[0.06, -0.0, -0.2, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.01]	[0.09, 0.12, 0.01]
16	[0.06, 0.01, -0.14, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.0]	[0.09, 0.12, 0.01]
17	[0.06, 0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.0]	[0.09, 0.12, 0.01]
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.0]	[0.09, 0.12, 0.01]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.0]	[0.09, 0.12, 0.01]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.83]	[-0.07, -0.01, 0.82]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.01]	[0.09, 0.12, 0.0]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.84]	[-0.07, -0.01, 0.83]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.01]	[0.09, 0.12, -0.0]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.84]	[-0.07, -0.01, 0.83]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.02]	[0.09, 0.12, -0.01]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.85]	[-0.07, -0.01, 0.84]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.02]	[0.09, 0.12, -0.01]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.01, 0.85]	[-0.07, -0.01, 0.84]	[0.02, 0.11, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.12, -0.03]	[0.09, 0.12, -0.02]
