step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.03]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.1, -0.34, 0.07]	[-0.04, -0.24, 0.05]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.05]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, 0.05]	[-0.04, -0.24, 0.03]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.07]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, 0.03]	[-0.04, -0.24, 0.01]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.09]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, 0.01]	[-0.03, -0.24, -0.02]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.11]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, -0.01]	[-0.03, -0.24, -0.04]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.14]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, -0.04]	[-0.03, -0.24, -0.06]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 1.16]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.09, -0.34, -0.06]	[-0.03, -0.24, -0.08]
7	[-0.31, -2.13, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.02, 1.18]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.08, -0.32, -0.08]	[-0.03, -0.22, -0.11]
8	[-0.25, -1.97, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.04, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.07, -0.3, -0.09]	[-0.02, -0.2, -0.12]
9	[-0.19, -1.74, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.07, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.07, -0.27, -0.09]	[-0.02, -0.18, -0.12]
10	[-0.15, -1.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.09, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.07, -0.25, -0.09]	[-0.01, -0.15, -0.12]
11	[-0.11, -1.28, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.11, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.23, -0.09]	[-0.01, -0.13, -0.11]
12	[-0.07, -1.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.14, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.2, -0.09]	[-0.0, -0.11, -0.11]
13	[-0.04, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.16, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.18, -0.09]	[-0.0, -0.09, -0.11]
14	[-0.02, -0.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.17, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.05, -0.17, -0.09]	[-0.0, -0.07, -0.11]
15	[-0.0, -0.46, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.18, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.05, -0.16, -0.09]	[0.0, -0.06, -0.11]
16	[0.01, -0.34, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.19, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.05, -0.15, -0.09]	[0.0, -0.05, -0.11]
17	[0.01, -0.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.2, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.05, -0.14, -0.09]	[0.0, -0.04, -0.11]
18	[0.0, -0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.05, -0.14, -0.09]	[0.0, -0.04, -0.11]
19	[0.0, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.19]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.13, -0.09]	[-0.0, -0.03, -0.11]
20	[-0.0, -0.15, -1.62, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.17]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.13, -0.07]	[-0.0, -0.03, -0.1]
21	[-0.01, -0.12, -1.46, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.21, 1.15]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.13, -0.05]	[-0.0, -0.03, -0.07]
22	[-0.02, -0.09, -1.24, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.13]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.08]	[-0.06, -0.12, -0.03]	[-0.0, -0.03, -0.05]
23	[-0.01, -0.07, -1.01, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.1]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.07]	[-0.06, -0.12, -0.0]	[-0.0, -0.03, -0.03]
24	[-0.0, -0.06, -0.78, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.08]	[-0.19, -0.34, 1.1]	[-0.14, -0.24, 1.05]	[-0.05, -0.12, 0.02]	[0.0, -0.03, -0.03]
25	[0.03, -0.05, -0.78, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.07]	[-0.19, -0.34, 1.1]	[-0.13, -0.24, 1.04]	[-0.05, -0.12, 0.03]	[0.01, -0.03, -0.03]
26	[0.07, -0.05, -0.79, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.22, 1.05]	[-0.19, -0.34, 1.1]	[-0.13, -0.24, 1.02]	[-0.06, -0.12, 0.05]	[0.01, -0.03, -0.03]
27	[0.11, -0.06, -0.78, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.03]	[-0.19, -0.34, 1.1]	[-0.12, -0.25, 1.01]	[-0.06, -0.12, 0.07]	[0.02, -0.03, -0.03]
28	[0.16, -0.06, -0.76, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.01]	[-0.19, -0.34, 1.1]	[-0.11, -0.25, 0.99]	[-0.06, -0.12, 0.09]	[0.02, -0.03, -0.02]
29	[0.21, -0.06, -0.72, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.22, 1.0]	[-0.19, -0.34, 1.1]	[-0.1, -0.25, 0.99]	[-0.07, -0.12, 0.1]	[0.02, -0.02, -0.01]
30	[0.21, -0.04, -0.6, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.22, 0.98]	[-0.19, -0.34, 1.1]	[-0.11, -0.25, 0.99]	[-0.07, -0.12, 0.12]	[0.01, -0.02, 0.01]
31	[0.11, -0.03, -0.4, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.22, 0.97]	[-0.19, -0.34, 1.1]	[-0.1, -0.25, 0.98]	[-0.08, -0.12, 0.13]	[0.02, -0.02, 0.01]
32	[0.18, -0.03, -0.38, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.22, 0.96]	[-0.19, -0.34, 1.1]	[-0.09, -0.25, 0.98]	[-0.08, -0.12, 0.14]	[0.02, -0.02, 0.02]
33	[0.23, -0.02, -0.33, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.23, 0.95]	[-0.19, -0.34, 1.1]	[-0.09, -0.25, 0.97]	[-0.08, -0.12, 0.15]	[0.03, -0.02, 0.02]
