step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.38, -0.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.11, 1.01]	[0.19, -0.14, 0.86]	[0.21, 0.02, 0.17]
1	[2.24, -0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.12, 1.0]	[0.19, -0.14, 0.86]	[0.19, 0.02, 0.17]
2	[2.04, -0.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.12, 1.0]	[0.19, -0.14, 0.86]	[0.17, 0.01, 0.16]
3	[1.84, -0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.13, 1.0]	[0.19, -0.14, 0.86]	[0.15, 0.01, 0.16]
4	[1.62, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 1.0]	[0.19, -0.14, 0.86]	[0.12, 0.01, 0.15]
5	[1.4, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.1, 0.0, 0.15]
6	[1.18, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.08, 0.0, 0.15]
7	[0.95, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.06, 0.0, 0.14]
8	[0.73, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.04, 0.0, 0.14]
9	[0.55, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.03, 0.0, 0.14]
10	[0.39, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.02, 0.0, 0.14]
11	[0.27, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.14, 1.0]	[0.19, -0.14, 0.86]	[0.01, 0.0, 0.14]
12	[0.18, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.14, 1.0]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.14]
13	[0.11, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.14, 1.01]	[0.19, -0.14, 0.86]	[-0.01, 0.0, 0.15]
14	[0.07, 0.0, -1.3, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.99]	[0.19, -0.14, 0.86]	[-0.01, 0.0, 0.13]
15	[0.04, 0.0, -1.14, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.97]	[0.19, -0.14, 0.86]	[-0.01, 0.0, 0.11]
16	[0.02, 0.0, -0.91, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.94]	[0.19, -0.14, 0.86]	[-0.01, 0.0, 0.08]
17	[0.01, -0.0, -0.7, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.93]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.07]
18	[0.01, -0.0, -0.52, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.91]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.05]
19	[0.02, -0.0, -0.38, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.9]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.04]
20	[0.02, -0.0, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.9]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.04]
21	[0.02, -0.0, -0.21, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.89]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.03]
22	[0.02, -0.0, -0.16, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.89]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.03]
23	[0.01, -0.0, -0.12, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.14, 0.88]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.02]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.14, 0.88]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.02]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.14, 0.88]	[0.19, -0.14, 0.86]	[-0.0, 0.0, 0.02]
26	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.14, 0.9]	[0.19, -0.14, 0.87]	[-0.0, 0.0, 0.03]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.14, 0.92]	[0.19, -0.14, 0.9]	[-0.0, 0.0, 0.03]
