step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[0.81, -1.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.11, 1.01]	[0.04, -0.23, 0.86]	[0.05, 0.11, 0.15]
1	[0.69, -1.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.13, 1.0]	[0.04, -0.23, 0.86]	[0.04, 0.09, 0.15]
2	[0.55, -0.95, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.15, 1.0]	[0.04, -0.23, 0.86]	[0.02, 0.07, 0.15]
3	[0.42, -0.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.17, 1.0]	[0.04, -0.23, 0.86]	[0.01, 0.06, 0.15]
4	[0.32, -0.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.19, 1.0]	[0.04, -0.23, 0.86]	[0.01, 0.04, 0.14]
5	[0.25, -0.4, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.2, 1.0]	[0.04, -0.23, 0.86]	[-0.0, 0.03, 0.14]
6	[0.19, -0.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.21, 1.0]	[0.04, -0.23, 0.86]	[-0.0, 0.02, 0.14]
7	[0.15, -0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.22, 1.0]	[0.04, -0.23, 0.86]	[-0.01, 0.01, 0.14]
8	[0.11, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.22, 1.0]	[0.04, -0.23, 0.86]	[-0.01, 0.01, 0.14]
9	[0.09, -0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.22, 1.0]	[0.04, -0.23, 0.86]	[-0.01, 0.01, 0.14]
10	[0.07, -0.04, -1.27, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.22, 0.99]	[0.04, -0.23, 0.86]	[-0.01, 0.0, 0.13]
11	[0.03, -0.04, -1.12, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.96]	[0.04, -0.23, 0.86]	[-0.01, 0.01, 0.1]
12	[-0.0, -0.04, -0.9, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.94]	[0.04, -0.23, 0.86]	[-0.01, 0.01, 0.08]
13	[-0.02, -0.05, -0.69, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.93]	[0.04, -0.23, 0.86]	[-0.01, 0.0, 0.07]
14	[-0.02, -0.04, -0.52, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.91]	[0.04, -0.23, 0.86]	[-0.01, 0.0, 0.05]
15	[-0.01, -0.04, -0.39, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.9]	[0.04, -0.23, 0.86]	[-0.01, 0.0, 0.04]
16	[0.01, -0.03, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.9]	[0.04, -0.23, 0.86]	[-0.0, 0.0, 0.03]
17	[0.02, -0.02, -0.2, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.23, 0.89]	[0.04, -0.23, 0.86]	[-0.0, 0.0, 0.03]
18	[0.03, -0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.23, 0.88]	[0.04, -0.23, 0.86]	[0.0, -0.0, 0.02]
19	[0.04, 0.01, -0.09, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.23, 0.88]	[0.04, -0.23, 0.86]	[0.0, -0.0, 0.02]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.23, 0.88]	[0.04, -0.23, 0.86]	[0.0, -0.0, 0.02]
21	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.23, 0.88]	[0.04, -0.23, 0.86]	[0.0, -0.0, 0.02]
22	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.23, 0.89]	[0.04, -0.23, 0.87]	[0.0, -0.0, 0.02]
23	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.23, 0.91]	[0.03, -0.23, 0.89]	[0.0, -0.0, 0.02]
24	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.23, 0.94]	[0.03, -0.23, 0.91]	[0.0, -0.0, 0.02]
25	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.23, 0.96]	[0.03, -0.23, 0.94]	[0.0, -0.0, 0.02]
26	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.23, 0.98]	[0.02, -0.23, 0.96]	[0.0, -0.0, 0.02]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.01, -0.23, 1.0]	[0.02, -0.23, 0.98]	[0.0, -0.0, 0.02]
28	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.01, -0.23, 1.02]	[0.02, -0.23, 1.0]	[0.0, 0.0, 0.02]
29	[1.78, 6.35, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.22, 1.05]	[0.03, -0.22, 1.02]	[0.0, 0.0, 0.02]
30	[1.65, 6.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.2, 1.05]	[0.05, -0.2, 1.03]	[0.0, 0.0, 0.02]
31	[1.45, 5.99, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.17, 1.05]	[0.07, -0.17, 1.02]	[0.0, 0.0, 0.02]
32	[1.23, 5.76, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.15, 1.05]	[0.1, -0.15, 1.02]	[0.0, 0.0, 0.02]
33	[1.02, 5.51, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.11, -0.12, 1.04]	[0.12, -0.12, 1.02]	[0.0, 0.0, 0.02]
34	[0.8, 5.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.13, -0.1, 1.04]	[0.14, -0.1, 1.02]	[0.0, 0.0, 0.02]
35	[0.61, 5.02, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.08, 1.04]	[0.15, -0.08, 1.02]	[0.0, 0.0, 0.02]
36	[0.46, 4.78, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, -0.05, 1.05]	[0.16, -0.05, 1.02]	[0.0, 0.0, 0.02]
37	[0.34, 4.54, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.03, 1.05]	[0.17, -0.03, 1.02]	[0.0, 0.0, 0.02]
38	[0.24, 4.31, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.0, 1.05]	[0.18, -0.0, 1.03]	[0.0, 0.0, 0.02]
39	[0.17, 4.07, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.02, 1.05]	[0.19, 0.02, 1.03]	[0.0, 0.0, 0.02]
40	[0.12, 3.84, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.04, 1.05]	[0.19, 0.04, 1.03]	[0.0, 0.0, 0.02]
