step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[2.03, 0.88, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.19, 0.08, -0.19]	[0.16, -0.13, -0.19]	[-0.03, -0.21, 0.0]
1	[1.88, 0.77, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.04, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.17, 0.06, -0.19]	[0.14, -0.14, -0.18]	[-0.03, -0.21, 0.0]
2	[1.68, 0.63, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.06, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.15, 0.05, -0.19]	[0.12, -0.16, -0.18]	[-0.03, -0.21, 0.0]
3	[1.48, 0.5, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.07, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.13, 0.04, -0.19]	[0.1, -0.17, -0.18]	[-0.03, -0.21, 0.0]
4	[1.26, 0.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.08, 1.0]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.1, 0.02, -0.18]	[0.08, -0.18, -0.18]	[-0.03, -0.21, 0.0]
5	[1.05, 0.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.09, 1.0]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.08, 0.02, -0.18]	[0.06, -0.19, -0.18]	[-0.03, -0.21, 0.0]
6	[0.83, 0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.1, 1.0]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.06, 0.01, -0.18]	[0.04, -0.2, -0.18]	[-0.03, -0.21, 0.0]
7	[0.64, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.1, 1.0]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.05, 0.0, -0.18]	[0.02, -0.2, -0.18]	[-0.03, -0.21, 0.01]
8	[0.47, 0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.1, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.03, 0.0, -0.19]	[0.01, -0.21, -0.18]	[-0.03, -0.21, 0.01]
9	[0.34, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, 0.1, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.02, 0.0, -0.19]	[-0.0, -0.21, -0.18]	[-0.03, -0.21, 0.01]
10	[0.23, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, 0.11, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.02, 0.0, -0.19]	[-0.01, -0.21, -0.18]	[-0.03, -0.21, 0.01]
11	[0.16, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.11, 1.01]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.01, 0.0, -0.19]	[-0.02, -0.21, -0.19]	[-0.03, -0.21, 0.01]
12	[0.1, 0.0, -1.9, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.11, 0.99]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.01, 0.0, -0.17]	[-0.02, -0.21, -0.17]	[-0.03, -0.21, 0.01]
13	[0.06, 0.0, -1.74, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.11, 0.97]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.0, 0.0, -0.15]	[-0.02, -0.21, -0.15]	[-0.03, -0.21, 0.01]
14	[0.03, 0.01, -1.52, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.1, 0.95]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.0, 0.0, -0.13]	[-0.02, -0.21, -0.12]	[-0.03, -0.21, 0.01]
15	[0.02, 0.01, -1.29, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.1, 0.93]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.0, 0.0, -0.11]	[-0.02, -0.21, -0.1]	[-0.03, -0.21, 0.01]
16	[0.02, 0.01, -1.05, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.1, 0.9]	[0.11, 0.11, 0.82]	[0.08, -0.1, 0.82]	[0.0, 0.0, -0.08]	[-0.02, -0.21, -0.08]	[-0.03, -0.21, 0.01]
