step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.03, 1.02]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.16, -0.19, 0.08]	[0.12, -0.29, 0.06]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.04]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.17, -0.19, 0.06]	[0.12, -0.29, 0.04]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.06]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.17, -0.19, 0.04]	[0.13, -0.29, 0.02]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.08]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.17, -0.19, 0.02]	[0.13, -0.29, -0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.1]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.18, -0.19, -0.0]	[0.13, -0.29, -0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.13]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.18, -0.19, -0.03]	[0.13, -0.29, -0.05]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.03, 1.15]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.18, -0.19, -0.05]	[0.13, -0.29, -0.07]
7	[1.32, -2.62, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.17, -0.17, -0.07]	[0.12, -0.27, -0.1]
8	[1.19, -2.46, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.01, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.15, -0.15, -0.07]	[0.1, -0.25, -0.1]
9	[0.99, -2.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.04, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.08]	[0.12, -0.12, -0.07]	[0.08, -0.22, -0.1]
10	[0.78, -1.99, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.05, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.11, -0.11, -0.07]	[0.07, -0.22, -0.1]
11	[0.66, -1.92, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.05, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.11, -0.12, -0.07]	[0.06, -0.22, -0.1]
12	[0.61, -1.93, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.05, 1.17]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.1, -0.12, -0.07]	[0.06, -0.22, -0.1]
13	[0.56, -1.94, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.05, 1.18]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.1, -0.12, -0.08]	[0.05, -0.22, -0.11]
14	[0.51, -1.95, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.04, 1.19]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.09, -0.12, -0.09]	[0.04, -0.22, -0.12]
15	[0.44, -1.96, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.04, 1.21]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.08, -0.12, -0.11]	[0.03, -0.22, -0.14]
16	[0.33, -1.97, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.04, 1.24]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.06, -0.12, -0.14]	[0.02, -0.22, -0.17]
17	[0.19, -1.98, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.04, 1.27]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.05, -0.12, -0.17]	[0.01, -0.22, -0.2]
18	[0.06, -2.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.04, 1.31]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.04, -0.12, -0.21]	[-0.01, -0.23, -0.23]
19	[-0.07, -2.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.04, 1.34]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.03, -0.12, -0.24]	[-0.02, -0.23, -0.27]
20	[-0.16, -2.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.04, 1.37]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.02, -0.12, -0.27]	[-0.02, -0.23, -0.3]
21	[-0.21, -2.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.05, 1.39]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.03, -0.11, -0.29]	[-0.02, -0.21, -0.32]
22	[-0.15, -1.89, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.07, 1.38]	[0.05, -0.16, 1.1]	[0.01, -0.27, 1.07]	[0.04, -0.09, -0.28]	[-0.01, -0.19, -0.3]
23	[-0.08, -1.68, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.09, 1.4]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.04, -0.07, -0.3]	[-0.01, -0.17, -0.32]
24	[-0.09, -1.49, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.11, 1.41]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.04, -0.05, -0.31]	[-0.01, -0.15, -0.34]
25	[-0.07, -1.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.13, 1.43]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, -0.03, -0.33]	[-0.01, -0.13, -0.35]
26	[-0.13, -1.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.16, 1.44]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.0, -0.34]	[-0.02, -0.1, -0.36]
27	[-0.22, -0.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.18, 1.45]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.02, -0.35]	[-0.03, -0.08, -0.37]
28	[-0.28, -0.54, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.2, 1.45]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.04, -0.35]	[-0.03, -0.06, -0.38]
29	[-0.3, -0.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.21, 1.46]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.05, -0.36]	[-0.03, -0.05, -0.39]
30	[-0.3, -0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 1.47]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.06, -0.37]	[-0.03, -0.04, -0.4]
31	[-0.29, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.23, 1.48]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.07, -0.38]	[-0.03, -0.03, -0.4]
32	[-0.28, -0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.23, 1.48]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.07, -0.38]	[-0.03, -0.03, -0.41]
33	[-0.26, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.24, 1.49]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.08, -0.39]	[-0.02, -0.02, -0.41]
34	[-0.24, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.24, 1.49]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.02, 0.08, -0.39]	[-0.02, -0.02, -0.42]
35	[-0.22, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.24, 1.5]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, 0.08, -0.4]	[-0.02, -0.02, -0.42]
36	[-0.2, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.24, 1.5]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, 0.08, -0.4]	[-0.02, -0.02, -0.43]
37	[-0.18, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.24, 1.5]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, 0.08, -0.4]	[-0.02, -0.02, -0.43]
38	[-0.17, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.24, 1.51]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, 0.08, -0.41]	[-0.02, -0.02, -0.43]
39	[-0.15, 0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.24, 1.51]	[0.05, -0.16, 1.1]	[0.01, -0.26, 1.07]	[0.03, 0.08, -0.41]	[-0.01, -0.02, -0.44]
