step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.51, -0.87, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.12, 1.02]	[0.21, -0.19, 0.86]	[0.21, 0.08, 0.2]
1	[2.37, -0.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.13, 1.02]	[0.21, -0.19, 0.86]	[0.19, 0.06, 0.19]
2	[2.17, -0.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.15, 1.01]	[0.21, -0.19, 0.86]	[0.17, 0.05, 0.19]
3	[1.97, -0.49, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.16, 1.01]	[0.21, -0.19, 0.86]	[0.15, 0.04, 0.18]
4	[1.76, -0.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.17, 1.01]	[0.21, -0.19, 0.86]	[0.13, 0.03, 0.17]
5	[1.54, -0.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.18, 1.01]	[0.21, -0.19, 0.86]	[0.11, 0.02, 0.17]
6	[1.33, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.08, 0.01, 0.16]
7	[1.11, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.06, 0.01, 0.16]
8	[0.88, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.04, 0.0, 0.16]
9	[0.68, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.03, 0.0, 0.15]
10	[0.5, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.01, 0.0, 0.15]
11	[0.36, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.19, 1.01]	[0.21, -0.19, 0.86]	[0.0, -0.0, 0.15]
12	[0.25, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.19, 1.01]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.15]
13	[0.17, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.19, 1.01]	[0.21, -0.19, 0.86]	[-0.01, -0.0, 0.15]
14	[0.1, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.19, 1.02]	[0.21, -0.19, 0.86]	[-0.02, -0.0, 0.16]
15	[0.06, 0.0, -1.41, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 1.0]	[0.21, -0.19, 0.86]	[-0.02, -0.0, 0.14]
16	[0.03, 0.0, -1.25, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.98]	[0.21, -0.19, 0.86]	[-0.02, -0.0, 0.12]
17	[0.02, -0.0, -1.02, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.95]	[0.21, -0.19, 0.86]	[-0.01, -0.0, 0.09]
18	[0.01, -0.0, -0.79, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.93]	[0.21, -0.19, 0.86]	[-0.01, -0.0, 0.07]
19	[0.01, -0.0, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.92]	[0.21, -0.19, 0.86]	[-0.01, -0.0, 0.06]
20	[0.02, -0.01, -0.44, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.91]	[0.21, -0.19, 0.86]	[-0.01, -0.0, 0.05]
21	[0.02, -0.0, -0.32, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.9]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.04]
22	[0.02, -0.0, -0.24, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.89]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.03]
23	[0.02, -0.0, -0.17, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.89]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.03]
24	[0.02, 0.0, -0.13, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.19, 0.88]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.02]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.19, 0.88]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.02]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.88]	[0.21, -0.19, 0.86]	[-0.0, -0.0, 0.02]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.9]	[0.21, -0.2, 0.87]	[-0.0, -0.0, 0.03]
28	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.92]	[0.21, -0.2, 0.9]	[-0.0, -0.0, 0.03]
29	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.95]	[0.21, -0.2, 0.92]	[-0.0, -0.0, 0.03]
30	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.97]	[0.21, -0.2, 0.94]	[-0.0, -0.0, 0.03]
31	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 0.99]	[0.21, -0.2, 0.97]	[-0.0, -0.0, 0.03]
32	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 1.02]	[0.21, -0.2, 0.99]	[-0.0, -0.0, 0.03]
33	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.21, -0.2, 1.04]	[0.21, -0.2, 1.01]	[-0.0, -0.0, 0.03]
34	[-0.11, 6.0, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.18, 1.06]	[0.21, -0.18, 1.03]	[-0.0, -0.0, 0.03]
35	[-0.08, 5.86, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.16, 1.07]	[0.2, -0.16, 1.04]	[-0.0, -0.0, 0.03]
36	[-0.06, 5.66, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.14, 1.07]	[0.2, -0.14, 1.04]	[-0.0, -0.0, 0.03]
37	[-0.05, 5.44, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.12, 1.07]	[0.2, -0.12, 1.04]	[-0.0, -0.0, 0.03]
38	[-0.04, 5.21, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.1, 1.07]	[0.2, -0.1, 1.04]	[-0.0, 0.0, 0.03]
39	[-0.02, 4.98, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.07, 1.07]	[0.2, -0.07, 1.04]	[-0.0, 0.0, 0.03]
40	[-0.01, 4.75, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.2, -0.05, 1.07]	[0.2, -0.05, 1.04]	[-0.0, 0.0, 0.03]
41	[0.01, 4.52, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.03, 1.07]	[0.2, -0.03, 1.04]	[-0.0, 0.0, 0.03]
42	[0.02, 4.29, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.0, 1.06]	[0.19, -0.0, 1.04]	[-0.0, 0.0, 0.03]
43	[0.03, 4.06, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.02, 1.06]	[0.19, 0.02, 1.04]	[-0.0, 0.0, 0.03]
44	[0.03, 3.83, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.04, 1.06]	[0.19, 0.04, 1.03]	[-0.0, 0.0, 0.03]
45	[0.04, 3.6, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.07, 1.06]	[0.19, 0.06, 1.03]	[-0.0, 0.0, 0.03]
46	[0.04, 3.38, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.09, 1.06]	[0.19, 0.09, 1.03]	[-0.0, 0.0, 0.03]
47	[0.05, 3.15, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.11, 1.06]	[0.19, 0.11, 1.03]	[-0.0, 0.0, 0.03]
48	[0.05, 2.92, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.13, 1.06]	[0.19, 0.13, 1.03]	[-0.0, 0.0, 0.03]
49	[0.05, 2.7, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.16, 1.06]	[0.19, 0.16, 1.03]	[-0.0, 0.0, 0.03]
50	[0.05, 2.47, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.18, 1.06]	[0.19, 0.18, 1.03]	[-0.0, 0.0, 0.03]
