step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.02, 1.04]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.11, -0.34, 0.06]	[-0.05, -0.24, 0.03]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.02, 1.06]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, 0.04]	[-0.05, -0.24, 0.01]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.02, 1.08]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, 0.02]	[-0.05, -0.24, -0.01]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.02, 1.11]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, -0.01]	[-0.05, -0.24, -0.03]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.02, 1.13]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, -0.03]	[-0.04, -0.24, -0.05]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.02, 1.15]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, -0.05]	[-0.04, -0.24, -0.08]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.02, 1.17]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.1, -0.34, -0.07]	[-0.04, -0.24, -0.1]
7	[-0.42, -2.14, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.04, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.09, -0.32, -0.1]	[-0.03, -0.22, -0.12]
8	[-0.34, -1.98, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.06, 1.21]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.08, -0.3, -0.11]	[-0.03, -0.2, -0.13]
9	[-0.27, -1.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.08, 1.21]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.07, -0.28, -0.11]	[-0.02, -0.18, -0.13]
10	[-0.21, -1.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.1, 1.21]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.07, -0.25, -0.11]	[-0.02, -0.15, -0.13]
11	[-0.15, -1.29, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.13, 1.21]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.23, -0.11]	[-0.01, -0.13, -0.13]
12	[-0.1, -1.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.15, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.21, -0.1]	[-0.01, -0.11, -0.13]
13	[-0.06, -0.84, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.17, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.06, -0.19, -0.1]	[-0.0, -0.09, -0.13]
14	[-0.03, -0.63, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.19, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.17, -0.1]	[-0.0, -0.07, -0.13]
15	[-0.01, -0.47, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.2, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.16, -0.1]	[-0.0, -0.06, -0.13]
16	[-0.0, -0.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.21, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.15, -0.1]	[0.0, -0.05, -0.13]
17	[0.0, -0.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.21, 1.2]	[-0.2, -0.36, 1.1]	[-0.15, -0.26, 1.08]	[-0.05, -0.14, -0.1]	[0.0, -0.04, -0.13]
