step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.0, 1.01]	[0.01, -0.03, 1.1]	[0.03, -0.14, 1.09]	[0.14, -0.03, 0.09]	[0.16, -0.14, 0.09]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.01, 1.01]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.15, -0.04, 0.09]	[0.16, -0.16, 0.11]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.02, 1.02]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.14, -0.05, 0.08]	[0.15, -0.17, 0.1]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 1.05]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.13, -0.06, 0.05]	[0.14, -0.18, 0.07]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.04, 1.09]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.12, -0.07, 0.01]	[0.13, -0.19, 0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.05, 1.14]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.11, -0.08, -0.04]	[0.12, -0.2, -0.02]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 1.19]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.09, -0.09, -0.09]	[0.11, -0.21, -0.07]
7	[1.06, -1.81, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 1.22]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.09, -0.09, -0.12]	[0.1, -0.21, -0.1]
8	[1.04, -1.83, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.06, 1.25]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.1, -0.09, -0.15]	[0.11, -0.21, -0.13]
9	[1.11, -1.83, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.06, 1.27]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.11, -0.09, -0.17]	[0.12, -0.21, -0.15]
10	[1.18, -1.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.06, 1.29]	[0.01, -0.03, 1.1]	[0.02, -0.15, 1.12]	[0.11, -0.09, -0.19]	[0.12, -0.21, -0.17]
