step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.26, 0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.11, 1.01]	[0.08, -0.1, 0.86]	[0.09, -0.02, 0.17]
1	[1.11, 0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.11, 1.01]	[0.08, -0.1, 0.86]	[0.07, -0.02, 0.16]
2	[0.91, 0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.11, 1.01]	[0.08, -0.1, 0.86]	[0.05, -0.01, 0.16]
3	[0.72, 0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.1, 1.01]	[0.08, -0.1, 0.86]	[0.03, -0.01, 0.15]
4	[0.55, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.1, 1.01]	[0.08, -0.1, 0.86]	[0.02, -0.01, 0.15]
5	[0.41, 0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.1, 1.01]	[0.08, -0.1, 0.86]	[0.01, -0.01, 0.15]
6	[0.29, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.1, 1.01]	[0.08, -0.1, 0.86]	[0.0, -0.0, 0.15]
7	[0.2, 0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.1, 1.01]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.15]
8	[0.13, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 1.01]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.15]
9	[0.09, 0.02, -1.37, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 1.0]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.14]
10	[0.05, 0.01, -1.21, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.97]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.11]
11	[0.02, 0.01, -0.98, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.95]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.09]
12	[0.01, 0.01, -0.76, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.93]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.07]
13	[0.01, 0.0, -0.57, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.92]	[0.08, -0.1, 0.86]	[-0.01, -0.0, 0.06]
14	[0.02, 0.0, -0.42, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.91]	[0.08, -0.1, 0.86]	[-0.0, -0.0, 0.05]
15	[0.03, 0.0, -0.3, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.9]	[0.08, -0.1, 0.86]	[-0.0, -0.0, 0.04]
16	[0.03, -0.0, -0.22, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.1, 0.89]	[0.08, -0.1, 0.86]	[-0.0, -0.0, 0.03]
