step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.12, -3.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.1, 0.98]	[0.14, -0.39, 0.86]	[0.18, 0.29, 0.13]
1	[1.98, -2.88, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.12, 0.98]	[0.14, -0.39, 0.86]	[0.16, 0.27, 0.13]
2	[1.78, -2.69, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.14, 0.98]	[0.14, -0.39, 0.86]	[0.14, 0.25, 0.13]
3	[1.58, -2.47, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.0, -0.17, 0.98]	[0.14, -0.39, 0.86]	[0.12, 0.23, 0.12]
4	[1.37, -2.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.19, 0.97]	[0.14, -0.39, 0.86]	[0.1, 0.2, 0.12]
5	[1.16, -1.99, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.22, 0.97]	[0.14, -0.39, 0.86]	[0.08, 0.18, 0.12]
6	[0.95, -1.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.24, 0.97]	[0.14, -0.39, 0.86]	[0.06, 0.15, 0.12]
7	[0.75, -1.5, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.26, 0.97]	[0.13, -0.4, 0.86]	[0.04, 0.13, 0.11]
8	[0.54, -1.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.29, 0.97]	[0.14, -0.39, 0.86]	[0.03, 0.11, 0.11]
9	[0.44, -1.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.31, 0.97]	[0.14, -0.39, 0.86]	[0.02, 0.08, 0.11]
10	[0.32, -0.79, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.33, 0.97]	[0.14, -0.39, 0.86]	[0.02, 0.06, 0.11]
11	[0.22, -0.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.35, 0.98]	[0.14, -0.39, 0.86]	[0.01, 0.04, 0.12]
12	[0.15, -0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.36, 0.98]	[0.14, -0.39, 0.86]	[0.01, 0.03, 0.12]
13	[0.1, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.37, 0.98]	[0.14, -0.39, 0.86]	[0.0, 0.02, 0.12]
14	[0.06, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.38, 0.98]	[0.14, -0.39, 0.86]	[-0.0, 0.01, 0.12]
15	[0.03, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.38, 0.98]	[0.14, -0.39, 0.86]	[-0.0, 0.01, 0.12]
16	[0.01, -0.09, -1.06, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.38, 0.97]	[0.14, -0.39, 0.86]	[-0.0, 0.01, 0.1]
17	[-0.01, -0.07, -0.9, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.94]	[0.14, -0.39, 0.86]	[-0.0, 0.01, 0.08]
18	[-0.01, -0.05, -0.68, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.93]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.07]
19	[-0.01, -0.04, -0.51, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.91]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.05]
20	[-0.0, -0.03, -0.38, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.9]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.04]
21	[0.0, -0.02, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.9]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.04]
22	[0.01, -0.01, -0.21, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.89]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.03]
23	[0.01, -0.01, -0.16, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.89]	[0.14, -0.39, 0.86]	[-0.0, 0.0, 0.03]
24	[0.01, -0.0, -0.12, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.39, 0.88]	[0.14, -0.39, 0.86]	[-0.0, -0.0, 0.02]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.39, 0.88]	[0.14, -0.39, 0.86]	[-0.0, -0.0, 0.02]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.39, 0.88]	[0.14, -0.39, 0.86]	[-0.0, -0.0, 0.02]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.39, 0.9]	[0.14, -0.39, 0.87]	[-0.0, -0.0, 0.03]
28	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 0.92]	[0.14, -0.39, 0.9]	[-0.0, -0.0, 0.03]
29	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 0.95]	[0.14, -0.4, 0.92]	[-0.0, -0.0, 0.03]
30	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 0.97]	[0.14, -0.4, 0.94]	[-0.0, -0.0, 0.03]
31	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 0.99]	[0.14, -0.4, 0.97]	[-0.0, -0.0, 0.03]
32	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 1.02]	[0.14, -0.4, 0.99]	[-0.0, -0.0, 0.03]
33	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.4, 1.04]	[0.14, -0.4, 1.01]	[-0.0, -0.0, 0.03]
34	[0.61, 7.98, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.14, -0.38, 1.06]	[0.14, -0.38, 1.03]	[-0.0, -0.0, 0.03]
35	[0.54, 7.83, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.15, -0.36, 1.07]	[0.15, -0.36, 1.04]	[-0.0, 0.0, 0.03]
36	[0.43, 7.61, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, -0.34, 1.06]	[0.16, -0.34, 1.04]	[-0.0, 0.0, 0.03]
37	[0.34, 7.38, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.31, 1.06]	[0.17, -0.31, 1.04]	[-0.0, 0.0, 0.03]
38	[0.26, 7.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.29, 1.07]	[0.18, -0.29, 1.04]	[-0.0, 0.0, 0.03]
39	[0.19, 6.91, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, -0.27, 1.07]	[0.18, -0.27, 1.04]	[-0.0, 0.0, 0.03]
40	[0.14, 6.68, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.24, 1.07]	[0.19, -0.24, 1.04]	[-0.0, 0.0, 0.03]
41	[0.1, 6.45, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.22, 1.07]	[0.19, -0.22, 1.04]	[-0.0, 0.0, 0.03]
42	[0.07, 6.22, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.2, 1.07]	[0.19, -0.2, 1.04]	[-0.0, 0.0, 0.03]
43	[0.05, 5.99, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.17, 1.07]	[0.19, -0.17, 1.04]	[-0.0, 0.0, 0.03]
44	[0.03, 5.76, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.15, 1.07]	[0.2, -0.15, 1.04]	[-0.0, 0.0, 0.03]
45	[0.02, 5.53, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.13, 1.07]	[0.2, -0.13, 1.04]	[-0.0, 0.0, 0.03]
46	[0.02, 5.3, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.1, 1.07]	[0.2, -0.1, 1.04]	[-0.0, 0.0, 0.03]
47	[0.02, 5.07, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.08, 1.07]	[0.2, -0.08, 1.04]	[-0.0, 0.0, 0.03]
48	[0.02, 4.84, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.06, 1.07]	[0.19, -0.06, 1.04]	[-0.0, 0.0, 0.03]
49	[0.03, 4.61, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.03, 1.07]	[0.19, -0.04, 1.04]	[-0.0, 0.0, 0.03]
50	[0.03, 4.38, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, -0.01, 1.07]	[0.19, -0.01, 1.04]	[-0.0, 0.0, 0.03]
51	[0.04, 4.15, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.01, 1.06]	[0.19, 0.01, 1.04]	[-0.0, 0.0, 0.03]
52	[0.04, 3.92, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.03, 1.06]	[0.19, 0.03, 1.04]	[-0.0, 0.0, 0.03]
53	[0.05, 3.69, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.06, 1.06]	[0.19, 0.06, 1.03]	[-0.0, 0.0, 0.03]
54	[0.05, 3.46, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.08, 1.06]	[0.19, 0.08, 1.03]	[-0.0, 0.0, 0.03]
55	[0.05, 3.24, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.1, 1.06]	[0.19, 0.1, 1.03]	[-0.0, 0.0, 0.03]
