step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.35, 1.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.0]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.12, 0.14, -0.18]	[0.02, 0.08, -0.18]	[-0.1, -0.06, 0.0]
1	[1.21, 1.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.03, 1.0]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.1, 0.12, -0.18]	[-0.0, 0.06, -0.17]	[-0.1, -0.06, 0.0]
2	[1.01, 1.25, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.05, 0.99]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.08, 0.1, -0.18]	[-0.02, 0.04, -0.17]	[-0.1, -0.06, 0.0]
3	[0.81, 1.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.07, 0.99]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.06, 0.08, -0.17]	[-0.04, 0.02, -0.17]	[-0.1, -0.06, 0.0]
4	[0.63, 0.81, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 0.99]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.05, 0.06, -0.17]	[-0.06, -0.0, -0.17]	[-0.1, -0.06, 0.0]
5	[0.48, 0.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.11, 0.99]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.04, 0.04, -0.17]	[-0.07, -0.02, -0.17]	[-0.1, -0.06, 0.0]
6	[0.36, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.12, 0.99]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.03, 0.03, -0.17]	[-0.08, -0.04, -0.17]	[-0.1, -0.06, 0.0]
7	[0.27, 0.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.13, 1.0]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.02, 0.02, -0.18]	[-0.09, -0.04, -0.17]	[-0.1, -0.06, 0.01]
8	[0.19, 0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.14, 1.0]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.01, 0.01, -0.18]	[-0.09, -0.05, -0.17]	[-0.1, -0.06, 0.01]
9	[0.13, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.14, 1.0]	[0.03, 0.15, 0.82]	[-0.07, 0.09, 0.82]	[0.01, 0.01, -0.18]	[-0.1, -0.05, -0.17]	[-0.1, -0.06, 0.01]
