step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.03]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.03, 0.21, 0.07]	[0.13, 0.25, 0.05]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.05]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.03, 0.21, 0.05]	[0.14, 0.25, 0.03]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.07]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.03, 0.21, 0.03]	[0.14, 0.25, 0.0]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.09]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.04, 0.21, 0.01]	[0.14, 0.25, -0.02]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.11]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.04, 0.21, -0.01]	[0.15, 0.25, -0.04]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.14]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.04, 0.21, -0.04]	[0.15, 0.25, -0.06]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.16]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.04, 0.21, -0.06]	[0.15, 0.25, -0.09]
7	[1.48, 2.71, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.03, 1.18]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.03, 0.2, -0.08]	[0.13, 0.23, -0.11]
8	[1.34, 2.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 1.18]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[0.01, 0.17, -0.08]	[0.11, 0.21, -0.11]
9	[1.14, 2.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.08, 1.18]	[-0.07, 0.23, 1.1]	[0.04, 0.26, 1.08]	[-0.01, 0.15, -0.08]	[0.09, 0.18, -0.11]
10	[0.93, 2.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.09, 1.18]	[-0.06, 0.24, 1.1]	[0.04, 0.27, 1.07]	[-0.02, 0.15, -0.08]	[0.09, 0.18, -0.11]
11	[0.87, 2.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.08, 1.18]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.02, 0.15, -0.08]	[0.09, 0.19, -0.11]
12	[0.86, 2.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.08, 1.19]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.02, 0.15, -0.09]	[0.09, 0.19, -0.12]
13	[0.87, 2.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.08, 1.19]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.01, 0.15, -0.09]	[0.1, 0.19, -0.12]
14	[0.98, 2.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.08, 1.21]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.01, 0.15, -0.11]	[0.12, 0.19, -0.13]
15	[1.2, 2.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.08, 1.23]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.02, 0.15, -0.13]	[0.13, 0.19, -0.16]
16	[1.3, 2.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.08, 1.25]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.03, 0.15, -0.15]	[0.14, 0.19, -0.18]
17	[1.39, 2.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.08, 1.28]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.04, 0.15, -0.18]	[0.15, 0.19, -0.21]
18	[1.48, 2.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.08, 1.31]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.05, 0.16, -0.21]	[0.16, 0.19, -0.23]
19	[1.56, 2.16, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.08, 1.35]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.05, 0.15, -0.25]	[0.16, 0.18, -0.27]
20	[1.58, 2.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.11, 1.4]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[0.03, 0.13, -0.3]	[0.13, 0.16, -0.32]
21	[1.34, 1.86, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.13, 1.43]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.0, 0.1, -0.33]	[0.1, 0.14, -0.36]
22	[1.04, 1.61, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.16, 1.45]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.03, 0.08, -0.35]	[0.08, 0.11, -0.38]
23	[0.75, 1.38, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.18, 1.47]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.06, 0.06, -0.37]	[0.05, 0.09, -0.4]
24	[0.5, 1.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.2, 1.48]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.08, 0.03, -0.38]	[0.03, 0.07, -0.41]
25	[0.29, 0.91, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.23, 1.48]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.09, 0.01, -0.38]	[0.02, 0.04, -0.41]
26	[0.17, 0.69, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.24, 1.49]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.1, -0.01, -0.39]	[0.01, 0.03, -0.42]
27	[0.11, 0.51, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.26, 1.48]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.1, -0.03, -0.38]	[0.01, 0.01, -0.41]
28	[0.07, 0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.28, 1.48]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.1, -0.04, -0.38]	[0.0, -0.01, -0.41]
29	[0.04, 0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.29, 1.48]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.1, -0.05, -0.38]	[0.0, -0.02, -0.41]
30	[0.03, 0.02, -4.61, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.29, 1.47]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.11, -0.06, -0.37]	[-0.0, -0.02, -0.4]
31	[-0.01, -0.02, -4.49, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.29, 1.46]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.11, -0.06, -0.36]	[-0.01, -0.02, -0.38]
32	[-0.07, -0.05, -4.34, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.3, 1.44]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.12, -0.06, -0.34]	[-0.01, -0.03, -0.37]
33	[-0.12, -0.07, -4.2, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.3, 1.43]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.12, -0.06, -0.33]	[-0.02, -0.03, -0.36]
34	[-0.17, -0.09, -4.06, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.3, 1.42]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.13, -0.07, -0.32]	[-0.02, -0.03, -0.34]
35	[-0.21, -0.12, -3.93, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.3, 1.4]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.13, -0.07, -0.3]	[-0.03, -0.03, -0.33]
36	[-0.25, -0.14, -3.81, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.3, 1.39]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.14, -0.07, -0.29]	[-0.03, -0.04, -0.32]
37	[-0.29, -0.15, -3.7, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.31, 1.38]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.14, -0.07, -0.28]	[-0.03, -0.04, -0.31]
38	[-0.32, -0.17, -3.59, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.31, 1.37]	[-0.07, 0.23, 1.1]	[0.04, 0.27, 1.07]	[-0.14, -0.07, -0.27]	[-0.04, -0.04, -0.3]
