step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.94, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.18, -0.07, -0.18]	[0.11, 0.09, -0.18]	[-0.07, 0.16, 0.0]
1	[1.79, -0.71, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.03, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.16, -0.06, -0.18]	[0.09, 0.1, -0.17]	[-0.07, 0.16, 0.0]
2	[1.6, -0.57, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.05, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.14, -0.04, -0.18]	[0.07, 0.11, -0.17]	[-0.07, 0.16, 0.0]
3	[1.4, -0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.06, 0.99]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.12, -0.03, -0.17]	[0.05, 0.13, -0.17]	[-0.07, 0.16, 0.0]
4	[1.18, -0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.07, 0.99]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.1, -0.02, -0.17]	[0.03, 0.14, -0.17]	[-0.07, 0.16, 0.0]
5	[0.97, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.08, 0.99]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.08, -0.01, -0.17]	[0.01, 0.14, -0.17]	[-0.07, 0.16, 0.0]
6	[0.75, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.08, 0.99]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.06, -0.01, -0.17]	[-0.01, 0.15, -0.17]	[-0.07, 0.16, 0.0]
7	[0.57, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.08, 0.99]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.04, -0.0, -0.17]	[-0.03, 0.15, -0.17]	[-0.07, 0.16, 0.01]
8	[0.41, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.09, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.03, -0.0, -0.18]	[-0.04, 0.15, -0.17]	[-0.07, 0.16, 0.01]
9	[0.29, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.09, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.02, -0.0, -0.18]	[-0.05, 0.16, -0.17]	[-0.07, 0.16, 0.01]
10	[0.2, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.09, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.01, -0.0, -0.18]	[-0.06, 0.16, -0.17]	[-0.07, 0.16, 0.01]
11	[0.13, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.09, 1.0]	[0.09, -0.09, 0.82]	[0.02, 0.07, 0.82]	[0.01, -0.0, -0.18]	[-0.06, 0.16, -0.17]	[-0.07, 0.16, 0.01]
