step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[2.74, 1.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.0]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.26, 0.12, -0.18]	[-0.04, 0.12, -0.18]	[-0.3, 0.0, 0.0]
1	[2.59, 1.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.03, 1.0]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.24, 0.1, -0.18]	[-0.06, 0.1, -0.18]	[-0.3, 0.0, 0.0]
2	[2.4, 1.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.05, 1.0]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.22, 0.08, -0.18]	[-0.08, 0.08, -0.17]	[-0.3, 0.0, 0.0]
3	[2.19, 0.81, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.07, 1.0]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.2, 0.06, -0.18]	[-0.1, 0.06, -0.17]	[-0.3, 0.0, 0.0]
4	[1.98, 0.61, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 1.0]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.18, 0.04, -0.18]	[-0.12, 0.04, -0.17]	[-0.3, 0.0, 0.0]
5	[1.77, 0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.99]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.16, 0.03, -0.18]	[-0.14, 0.03, -0.17]	[-0.3, 0.0, 0.0]
6	[1.56, 0.28, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.11, 0.99]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.13, 0.02, -0.17]	[-0.16, 0.02, -0.17]	[-0.3, 0.0, 0.0]
7	[1.35, 0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.12, 0.99]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.11, 0.01, -0.17]	[-0.19, 0.01, -0.17]	[-0.3, 0.0, 0.01]
8	[1.13, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.12, 0.99]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.09, 0.01, -0.17]	[-0.21, 0.01, -0.17]	[-0.3, 0.0, 0.01]
9	[0.91, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.13, 0.99]	[0.17, 0.13, 0.82]	[-0.13, 0.13, 0.82]	[0.07, 0.0, -0.17]	[-0.23, 0.0, -0.17]	[-0.3, 0.0, 0.01]
