step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[2.53, -0.92, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.12, 1.01]	[0.2, -0.2, 0.86]	[0.22, 0.07, 0.18]
1	[2.38, -0.79, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.13, 1.01]	[0.2, -0.2, 0.86]	[0.2, 0.06, 0.17]
2	[2.19, -0.63, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.15, 1.0]	[0.2, -0.2, 0.86]	[0.18, 0.05, 0.17]
3	[1.98, -0.48, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.16, 1.0]	[0.2, -0.2, 0.86]	[0.16, 0.03, 0.16]
4	[1.77, -0.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.17, 1.0]	[0.2, -0.2, 0.86]	[0.14, 0.02, 0.16]
5	[1.56, -0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.18, 1.0]	[0.2, -0.2, 0.86]	[0.12, 0.02, 0.15]
6	[1.34, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.1, 0.01, 0.15]
7	[1.11, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.07, 0.01, 0.15]
8	[0.89, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.13, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.05, 0.0, 0.15]
9	[0.68, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.04, 0.0, 0.14]
10	[0.51, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.02, 0.0, 0.14]
11	[0.36, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.18, -0.19, 1.0]	[0.2, -0.2, 0.86]	[0.01, 0.0, 0.14]
12	[0.25, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.2, 1.0]	[0.2, -0.2, 0.86]	[0.0, 0.0, 0.15]
13	[0.16, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.19, -0.2, 1.01]	[0.2, -0.2, 0.86]	[-0.0, 0.0, 0.15]
14	[0.1, -0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.2, 1.01]	[0.2, -0.2, 0.86]	[-0.01, 0.0, 0.15]
15	[0.06, 0.0, -1.33, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.2, 0.99]	[0.2, -0.2, 0.86]	[-0.01, 0.0, 0.13]
16	[0.03, 0.0, -1.17, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.2, 0.97]	[0.2, -0.2, 0.86]	[-0.01, 0.0, 0.11]
17	[0.01, 0.0, -0.94, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.2, 0.95]	[0.2, -0.2, 0.86]	[-0.01, 0.0, 0.09]
18	[0.01, -0.0, -0.72, 0.0, 0.0, 0.0, -1.0]	[0.2, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.01, -0.0, 0.07]
19	[-0.02, 0.01, -0.6, 0.0, 0.0, 0.0, -1.0]	[0.21, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.02, -0.0, 0.07]
20	[-0.1, 0.02, -0.61, 0.0, 0.0, 0.0, -1.0]	[0.22, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.03, -0.0, 0.07]
21	[-0.16, 0.02, -0.61, 0.0, 0.0, 0.0, -1.0]	[0.22, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.03, -0.0, 0.07]
22	[-0.22, 0.02, -0.61, 0.0, 0.0, 0.0, -1.0]	[0.23, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.03, -0.0, 0.07]
23	[-0.27, 0.02, -0.61, 0.0, 0.0, 0.0, -1.0]	[0.23, -0.2, 0.94]	[0.2, -0.2, 0.86]	[-0.04, -0.0, 0.07]
24	[-0.31, 0.02, -0.6, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.04, -0.0, 0.07]
25	[-0.34, 0.03, -0.6, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.04, -0.0, 0.07]
26	[-0.36, 0.03, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.04, -0.0, 0.07]
27	[-0.37, 0.03, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.04, -0.0, 0.07]
28	[-0.38, 0.03, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
29	[-0.39, 0.03, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
30	[-0.39, 0.03, -0.59, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
31	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
32	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
33	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
34	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
35	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
36	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
37	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
38	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
39	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
40	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
41	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
42	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
43	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
44	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
45	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
46	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
47	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
48	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
49	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
50	[-0.39, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
51	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
52	[-0.4, 0.03, -0.58, 0.0, 0.0, 0.0, -1.0]	[0.24, -0.2, 0.93]	[0.2, -0.2, 0.86]	[-0.05, -0.0, 0.07]
