step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[2.21, 0.78, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.02, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.21, 0.07, -0.19]	[0.01, 0.09, -0.19]	[-0.2, 0.02, 0.0]
1	[2.07, 0.68, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.19, 0.06, -0.19]	[-0.01, 0.08, -0.19]	[-0.2, 0.02, 0.0]
2	[1.86, 0.56, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.01, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.17, 0.04, -0.19]	[-0.04, 0.07, -0.18]	[-0.2, 0.02, 0.0]
3	[1.66, 0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.14, 0.03, -0.19]	[-0.06, 0.06, -0.18]	[-0.2, 0.02, 0.0]
4	[1.44, 0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.03, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.12, 0.02, -0.19]	[-0.08, 0.04, -0.18]	[-0.2, 0.02, 0.0]
5	[1.22, 0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.04, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.1, 0.01, -0.19]	[-0.1, 0.04, -0.18]	[-0.2, 0.02, 0.0]
6	[1.0, 0.13, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.04, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.08, 0.01, -0.19]	[-0.12, 0.03, -0.18]	[-0.2, 0.02, 0.0]
7	[0.78, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.06, 0.0, -0.19]	[-0.14, 0.03, -0.18]	[-0.2, 0.02, 0.01]
8	[0.59, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.04, 0.0, -0.19]	[-0.16, 0.02, -0.18]	[-0.2, 0.02, 0.01]
9	[0.43, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.03, 0.0, -0.19]	[-0.17, 0.02, -0.18]	[-0.2, 0.02, 0.01]
10	[0.31, 0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.02, 0.0, -0.19]	[-0.18, 0.02, -0.18]	[-0.2, 0.02, 0.01]
11	[0.21, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.01, 0.0, -0.19]	[-0.19, 0.02, -0.19]	[-0.2, 0.02, 0.01]
12	[0.14, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 1.01]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.01, 0.0, -0.19]	[-0.19, 0.02, -0.19]	[-0.2, 0.02, 0.01]
13	[0.09, 0.0, -1.92, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 1.0]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.18]	[-0.2, 0.02, -0.17]	[-0.2, 0.02, 0.01]
14	[0.05, 0.0, -1.76, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.97]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.15]	[-0.2, 0.02, -0.15]	[-0.2, 0.02, 0.01]
15	[0.03, 0.01, -1.53, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.95]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.13]	[-0.2, 0.02, -0.13]	[-0.2, 0.02, 0.01]
16	[0.02, 0.01, -1.31, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.93]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.11]	[-0.2, 0.02, -0.1]	[-0.2, 0.02, 0.01]
17	[0.01, 0.01, -1.07, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.9]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.08]	[-0.2, 0.02, -0.08]	[-0.2, 0.02, 0.01]
18	[0.02, 0.01, -0.83, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.88]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.06]	[-0.2, 0.02, -0.06]	[-0.2, 0.02, 0.01]
19	[0.03, 0.01, -0.62, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.87]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.05]	[-0.2, 0.02, -0.04]	[-0.2, 0.02, 0.01]
20	[0.03, 0.01, -0.46, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.85]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.03]	[-0.2, 0.02, -0.03]	[-0.2, 0.02, 0.01]
21	[0.03, 0.01, -0.34, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.84]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, 0.0, -0.02]	[-0.2, 0.02, -0.02]	[-0.2, 0.02, 0.01]
22	[0.03, 0.0, -0.25, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.84]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.02]	[-0.2, 0.02, -0.01]	[-0.2, 0.02, 0.01]
23	[0.03, -0.0, -0.18, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.01]	[-0.2, 0.02, 0.01]
24	[0.02, -0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.01]	[-0.2, 0.02, 0.01]
25	[0.02, -0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.0]	[-0.2, 0.02, 0.01]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.0]	[-0.2, 0.02, 0.01]
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.0]	[-0.2, 0.02, 0.01]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.83]	[0.13, 0.05, 0.82]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.01]	[-0.2, 0.02, 0.0]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.84]	[0.13, 0.05, 0.83]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.01]	[-0.2, 0.02, -0.01]
30	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.84]	[0.13, 0.05, 0.84]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.02]	[-0.2, 0.02, -0.01]
31	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.13, 0.05, 0.85]	[0.13, 0.05, 0.84]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.02]	[-0.2, 0.02, -0.02]
32	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.85]	[0.13, 0.05, 0.85]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.03]	[-0.2, 0.02, -0.02]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.86]	[0.13, 0.05, 0.85]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.03]	[-0.2, 0.02, -0.03]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.87]	[0.13, 0.05, 0.86]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.04]	[-0.2, 0.02, -0.03]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.87]	[0.13, 0.05, 0.86]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.05]	[-0.2, 0.02, -0.04]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.88]	[0.12, 0.05, 0.87]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.05]	[-0.2, 0.02, -0.04]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.88]	[0.12, 0.05, 0.87]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.06]	[-0.2, 0.02, -0.05]
38	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.89]	[0.12, 0.05, 0.88]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.06]	[-0.2, 0.02, -0.06]
39	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.89]	[0.12, 0.05, 0.89]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.07]	[-0.2, 0.02, -0.06]
40	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.9]	[0.12, 0.05, 0.89]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.07]	[-0.2, 0.02, -0.07]
41	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.12, 0.05, 0.9]	[0.12, 0.05, 0.9]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.2, 0.02, -0.08]	[-0.2, 0.02, -0.07]
42	[-1.99, 0.21, 2.5, 0.0, 0.0, 0.0, 1.0]	[0.11, 0.06, 0.92]	[0.11, 0.06, 0.91]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.19, 0.02, -0.09]	[-0.19, 0.02, -0.09]
43	[-1.86, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, 0.06, 0.93]	[0.09, 0.06, 0.92]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.17, 0.01, -0.11]	[-0.17, 0.01, -0.1]
44	[-1.69, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.07, 0.06, 0.93]	[0.07, 0.06, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.15, 0.01, -0.11]	[-0.15, 0.01, -0.1]
45	[-1.49, 0.11, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.07, 0.93]	[0.05, 0.06, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.13, 0.01, -0.11]	[-0.13, 0.01, -0.1]
46	[-1.28, 0.09, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, 0.07, 0.94]	[0.03, 0.07, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.1, 0.01, -0.11]	[-0.11, 0.01, -0.1]
47	[-1.05, 0.08, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.01, 0.07, 0.94]	[0.01, 0.07, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.08, 0.01, -0.11]	[-0.08, 0.01, -0.1]
48	[-0.82, 0.07, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.07, 0.94]	[-0.01, 0.07, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.06, 0.01, -0.11]	[-0.06, 0.01, -0.1]
49	[-0.61, 0.07, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.03, 0.07, 0.93]	[-0.03, 0.07, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.04, 0.01, -0.11]	[-0.04, 0.01, -0.1]
50	[-0.44, 0.07, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.07, 0.93]	[-0.04, 0.07, 0.93]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.03, 0.01, -0.11]	[-0.03, 0.01, -0.1]
51	[-0.31, 0.06, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.06, 0.07, 0.93]	[-0.05, 0.07, 0.92]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.02, 0.0, -0.11]	[-0.02, 0.01, -0.1]
52	[-0.21, 0.05, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.06, 0.07, 0.93]	[-0.06, 0.07, 0.92]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.01, 0.0, -0.11]	[-0.01, 0.0, -0.1]
53	[-0.14, 0.04, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.07, 0.93]	[-0.07, 0.07, 0.92]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.01, 0.0, -0.1]	[-0.01, 0.0, -0.1]
54	[-0.09, 0.02, -0.47, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.07, 0.92]	[-0.07, 0.07, 0.91]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.0, -0.0, -0.1]	[-0.01, 0.0, -0.09]
55	[-0.06, 0.0, -0.39, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.08, 0.91]	[-0.07, 0.08, 0.9]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.0, -0.0, -0.09]	[-0.0, -0.0, -0.08]
56	[-0.04, -0.01, -0.29, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.08, 0.9]	[-0.07, 0.08, 0.9]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[-0.0, -0.0, -0.08]	[-0.0, -0.0, -0.07]
57	[-0.02, -0.02, -0.22, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.08, 0.9]	[-0.07, 0.08, 0.89]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[0.0, -0.0, -0.07]	[-0.0, -0.0, -0.07]
58	[-0.0, -0.03, -0.15, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.08, 0.89]	[-0.08, 0.08, 0.89]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[0.0, -0.0, -0.07]	[0.0, -0.0, -0.06]
59	[0.01, -0.03, -0.11, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.08, 0.89]	[-0.08, 0.08, 0.88]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[0.0, -0.0, -0.06]	[0.0, -0.0, -0.06]
60	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.08, 0.89]	[-0.08, 0.08, 0.88]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[0.01, -0.0, -0.06]	[0.0, -0.0, -0.06]
61	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.08, 0.89]	[-0.08, 0.08, 0.88]	[-0.08, 0.07, 0.82]	[0.0, -0.0, -0.01]	[0.01, -0.01, -0.06]	[0.01, -0.01, -0.05]
