step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.03]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.09]	[0.06, 0.16, 0.07]	[-0.04, 0.11, 0.06]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.05]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.11]	[0.06, 0.16, 0.05]	[-0.04, 0.11, 0.06]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.07]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.11]	[0.06, 0.16, 0.03]	[-0.04, 0.11, 0.04]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.1]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.1]	[0.06, 0.16, 0.0]	[-0.04, 0.11, 0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.12]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.09]	[0.06, 0.16, -0.02]	[-0.04, 0.11, -0.03]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.14]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.06, 0.16, -0.04]	[-0.04, 0.11, -0.06]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.17]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.06, 0.16, -0.07]	[-0.03, 0.11, -0.09]
7	[-0.34, 1.34, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.19]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.07, 0.15, -0.09]	[-0.03, 0.09, -0.11]
8	[-0.28, 1.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.07, 0.13, -0.1]	[-0.02, 0.07, -0.12]
9	[-0.23, 0.96, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.04, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.08, 0.1, -0.1]	[-0.02, 0.05, -0.12]
10	[-0.18, 0.74, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.06, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.08, 0.08, -0.1]	[-0.01, 0.03, -0.12]
11	[-0.13, 0.55, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
12	[-0.09, 0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
13	[-0.08, 0.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
14	[-0.07, 0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
15	[-0.06, 0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
16	[-0.06, 0.42, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
17	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
18	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
19	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
20	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
21	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
22	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
23	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
24	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
25	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
26	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
27	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
28	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
29	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
30	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
31	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
32	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
33	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
34	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
35	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
36	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
37	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
38	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
39	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
40	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
41	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
42	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
43	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
44	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
45	[-0.06, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
46	[-0.05, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
47	[-0.05, 0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.07, 1.2]	[-0.03, 0.14, 1.1]	[-0.13, 0.09, 1.08]	[0.09, 0.07, -0.1]	[-0.01, 0.02, -0.12]
