step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, 0.09, 1.04]	[-0.2, -0.06, 1.1]	[-0.1, -0.0, 1.07]	[-0.05, -0.15, 0.06]	[0.05, -0.09, 0.02]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.12, 1.11]	[-0.2, -0.06, 1.1]	[-0.1, -0.01, 1.04]	[-0.06, -0.19, -0.01]	[0.04, -0.14, -0.07]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.1, 1.17]	[-0.2, -0.06, 1.1]	[-0.1, -0.01, 1.04]	[-0.1, -0.16, -0.07]	[-0.0, -0.11, -0.13]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.09, 1.23]	[-0.2, -0.06, 1.1]	[-0.1, -0.01, 1.06]	[-0.14, -0.16, -0.13]	[-0.04, -0.1, -0.18]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.09, 1.28]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.07]	[-0.17, -0.15, -0.18]	[-0.07, -0.1, -0.22]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.09, 1.33]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.07]	[-0.19, -0.15, -0.23]	[-0.1, -0.1, -0.25]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.09, 1.37]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.21, -0.15, -0.27]	[-0.11, -0.1, -0.29]
7	[-1.09, -0.71, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.08, 1.4]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.2, -0.14, -0.3]	[-0.1, -0.09, -0.33]
8	[-1.04, -0.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.07, 1.42]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.19, -0.13, -0.32]	[-0.09, -0.08, -0.34]
9	[-0.91, -0.5, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.06, 1.42]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.17, -0.12, -0.32]	[-0.07, -0.07, -0.35]
10	[-0.75, -0.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.05, 1.42]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.15, -0.11, -0.32]	[-0.06, -0.06, -0.35]
11	[-0.56, -0.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.04, 1.42]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.13, -0.11, -0.32]	[-0.04, -0.05, -0.34]
12	[-0.38, -0.26, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.04, 1.41]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.12, -0.1, -0.31]	[-0.02, -0.04, -0.34]
13	[-0.22, -0.2, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.03, 1.4]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.11, -0.09, -0.3]	[-0.01, -0.04, -0.33]
14	[-0.11, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.03, 1.4]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.09, -0.3]	[-0.0, -0.04, -0.32]
15	[-0.03, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.39]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.09, -0.09, -0.29]	[0.0, -0.03, -0.32]
16	[0.02, -0.12, -3.67, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.37]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.09, -0.08, -0.27]	[0.0, -0.03, -0.3]
17	[0.03, -0.09, -3.48, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.35]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.25]	[0.0, -0.03, -0.28]
18	[0.02, -0.07, -3.26, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.02, 1.33]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.23]	[0.0, -0.03, -0.25]
19	[0.01, -0.05, -3.04, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.31]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.21]	[-0.0, -0.02, -0.23]
20	[-0.0, -0.04, -2.82, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.28]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.18]	[-0.0, -0.02, -0.21]
21	[-0.0, -0.03, -2.59, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.26]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.16]	[0.0, -0.02, -0.19]
22	[0.0, -0.02, -2.36, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.01, 1.24]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.14]	[0.0, -0.02, -0.16]
23	[0.01, -0.01, -2.12, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.24]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.14]	[-0.0, -0.02, -0.16]
24	[-0.02, -0.03, -2.1, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.23]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.1, -0.08, -0.13]	[-0.01, -0.03, -0.15]
25	[-0.07, -0.07, -2.01, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.21]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.11, -0.08, -0.11]	[-0.01, -0.03, -0.14]
26	[-0.11, -0.09, -1.89, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.2]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.11, -0.09, -0.1]	[-0.01, -0.03, -0.12]
27	[-0.14, -0.1, -1.74, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.18]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.11, -0.09, -0.08]	[-0.02, -0.03, -0.11]
28	[-0.16, -0.1, -1.56, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.17]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.12, -0.09, -0.07]	[-0.02, -0.03, -0.1]
29	[-0.19, -0.12, -1.46, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 1.17]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.12, -0.09, -0.07]	[-0.02, -0.03, -0.09]
30	[-0.23, -0.15, -1.4, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 1.16]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.12, -0.09, -0.06]	[-0.03, -0.04, -0.08]
31	[-0.26, -0.17, -1.34, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 1.15]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.13, -0.1, -0.05]	[-0.03, -0.04, -0.08]
32	[-0.29, -0.2, -1.28, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.03, 1.15]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.13, -0.1, -0.05]	[-0.03, -0.04, -0.07]
33	[-0.32, -0.22, -1.23, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.03, 1.14]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.13, -0.1, -0.04]	[-0.03, -0.04, -0.07]
34	[-0.34, -0.24, -1.18, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.04, 1.14]	[-0.2, -0.06, 1.1]	[-0.11, -0.01, 1.08]	[-0.13, -0.1, -0.04]	[-0.04, -0.05, -0.06]
